name,combatRollType,baseDiceAdjustment,variation,dicePoolModifier,penetration,range,usesPerRound,areaOfEffect,optionalResourceTypeAndAmount,damageTypes,governingSkillName,description,duration,source
Two-handed Bludgeon Medium Melee,Bludgeon Medium Melee,+0,Two-handed,+1d6,4,Melee,Swift,None,None,Bludgeon,Medium Melee,"War hammer, mace, large creature smash, ect...",Indefinite,Innate
Dual-wielded Bludgeon Medium Melee,Bludgeon Medium Melee,+0,Dual-wielded,+1d6,4,Melee,Swift +1,None,None,Bludgeon,Medium Melee,"War hammer, mace, large creature smash, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Medium Spear,Medium Spear,+0,One-handed,+2d6,2,Melee,Quick,None,None,Pierce,Medium Melee,"Javelin, short spear, large creature horns, ect...",Indefinite,Innate
Dual-wielded Medium Spear,Medium Spear,+0,Dual-wielded,+3d6,2,Melee,Quick,None,None,Pierce,Medium Melee,"Javelin, short spear, large creature horns, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Hew Large Melee,Hew Large Melee,+0,One-handed,+0d6,2,Melee,Swift,None,None,Hew,Large Melee,"Dane axe, short poleaxe axehead, short halberd, ect...",Indefinite,Innate
Two-handed Hew Large Melee,Hew Large Melee,+0,Two-handed,+2d6,3,Melee,Swift,None,None,Hew,Large Melee,"Dane axe, short poleaxe axehead, short halberd, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Slash Large Melee,Slash Large Melee,+0,One-handed,+1d6,1,Melee,Swift,None,None,Slash,Large Melee,"Longsword, Ōdachi, ect...",Indefinite,Innate
Two-handed Slash Large Melee,Slash Large Melee,+0,Two-handed,+3d6,2,Melee,Swift,None,None,Slash,Large Melee,"Longsword, Ōdachi, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Pierce Large Melee,Pierce Large Melee,+0,One-handed,+0d6,2,Melee,Swift,None,None,Pierce,Large Melee,"Longsword, Ōdachi, Bec de corbin spike, ect...",Indefinite,Innate
Two-handed Pierce Large Melee,Pierce Large Melee,+0,Two-handed,+2d6,3,Melee,Swift,None,None,Pierce,Large Melee,"Longsword, Ōdachi, Bec de corbin spike, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Bludgeon Large Melee,Bludgeon Large Melee,+0,One-handed,-1d,4,Melee,Swift,None,None,Bludgeon,Large Melee,"Two-handed Mace, maul, ect...",Indefinite,Innate
Two-handed Bludgeon Large Melee,Bludgeon Large Melee,+0,Two-handed,+1d6,5,Melee,Swift,None,None,Bludgeon,Large Melee,"Two-handed Mace, maul, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Large Spear,Large Spear,+0,One-handed,+2d6,2,Melee,Quick,None,None,Pierce,Large Melee,"Two-handed spear, ect...",Indefinite,Innate
Two-handed Large Spear,Large Spear,+0,Two-handed,+3d6,3,Melee,Quick,None,None,Pierce,Large Melee,"Two-handed spear, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Hew Reach Melee,Hew Reach Melee,+0,One-handed,-2d,2,Reach,Swift +2,None,None,Hew,Reach Melee,"Poleaxe's axe head, halberd's axe head, glaive, ect...  Disadvantage while in confined spaces.",Indefinite,Innate
Two-handed Hew Reach Melee,Hew Reach Melee,+0,Two-handed,+3d6,4,Reach,Swift +2,None,None,Hew,Reach Melee,"Poleaxe's axe head, halberd's axe head, glaive, ect...  Disadvantage while in confined spaces.",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Slash Reach Melee,Slash Reach Melee,+0,One-handed,-2d,1,Reach,Swift +2,None,None,Slash,Reach Melee,"Greatsword, zweihänder, naginata, ect... Disadvantage while in confined spaces.",Indefinite,Innate
Two-handed Slash Reach Melee,Slash Reach Melee,+0,Two-handed,+4d6,3,Reach,Swift +2,None,None,Slash,Reach Melee,"Greatsword, zweihänder, naginata, ect... Disadvantage while in confined spaces.",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Pierce Reach Melee,Pierce Reach Melee,+0,One-handed,-2d,2,Reach,Swift +2,None,None,Pierce,Reach Melee,"Greatsword, zweihänder, naginata, halberd's spike, ect... Disadvantage while in confined spaces.",Indefinite,Innate
Two-handed Pierce Reach Melee,Pierce Reach Melee,+0,Two-handed,+3d6,4,Reach,Swift +2,None,None,Pierce,Reach Melee,"Greatsword, zweihänder, naginata, halberd's spike, ect... Disadvantage while in confined spaces.",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Bludgeon Reach Melee,Bludgeon Reach Melee,+0,One-handed,-2d,3,Reach,Swift +2,None,None,Bludgeon,Reach Melee,"Poleaxe hammer, ect... Disadvantage while in confined spaces.",Indefinite,Innate
Two-handed Bludgeon Reach Melee,Bludgeon Reach Melee,+0,Two-handed,+2d6,5,Reach,Swift +2,None,None,Bludgeon,Reach Melee,"Poleaxe hammer, ect... Disadvantage while in confined spaces.",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Reach Spear,Reach Spear,+0,One-handed,-2d,2,Reach,Steady,None,None,Pierce,Reach Melee,"Pike, lance, ect... Disadvantage while in confined spaces.",Indefinite,Innate
Two-handed Reach Spear,Reach Spear,+0,Two-handed,+4d6,4,Reach,Steady,None,None,Pierce,Reach Melee,"Pike, lance, ect... Disadvantage while in confined spaces.",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Whip,Whip,+0,One-handed,+0d6,0,Reach,Swift,None,None,Slash,Exotic Melee,"Bullwhips, ect... Disadvantage while in confined spaces.",Indefinite,Innate
Dual-wielded Whip,Whip,+0,Dual-wielded,+1d6,0,Reach,Swift +1,None,None,Slash,Exotic Melee,"Bullwhips, ect... Disadvantage while in confined spaces.",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Hand Crossbow ,Hand Crossbow,+0,One-handed,+1d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Light Bolt, 1",Pierce,Hand Crossbow,Small crossbows designed to be held in one hand.,Indefinite,Innate
Two-handed Hand Crossbow ,Hand Crossbow,+0,Two-handed,+1d6,0,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None,"Light Bolt, 1",Pierce,Hand Crossbow,Small crossbows designed to be held in one hand.,Indefinite,Innate
Dual-wielded Hand Crossbow ,Hand Crossbow,+0,Dual-wielded,+2d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None,"Light Bolt, 2",Pierce,Hand Crossbow,Small crossbows designed to be held in one hand.,Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Light Crossbow,Light Crossbow,+0,One-handed,+0d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,"Light Bolt, 1",Pierce,Light Crossbow,"Crossbows balancing power and reload time. ",Indefinite,Innate
Two-handed Light Crossbow,Light Crossbow,+0,Two-handed,+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,"Light Bolt, 1",Pierce,Light Crossbow,"Crossbows balancing power and reload time. ",Indefinite,Innate
,,,,,,,,,,,,,,
Two-handed Heavy Crossbow,Heavy Crossbow,+0,Two-handed,+2d6,2,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,"Heavy Bolt, 1",Pierce,Heavy Crossbow,Crossbows designed for maximum power disregarding reload time.,Indefinite,Innate
,,,,,,,,,,,,,,
Two-handed Light Crossbow,Light Bow,+0,Two-handed,+1d6,0,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,"Light Arrow, 1",Pierce,Light Bow,Bows favoring easier drawing versus power.,Indefinite,Innate
,,,,,,,,,,,,,,
Two-handed Heavy Crossbow,Heavy Bow,+0,Two-handed,+2d6,2,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,"Heavy Arrow, 1",Pierce,Heavy Bow,Bows favoring power over easier drawing. Requires a minimum of 1 STR to draw.,Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Blowgun,Blowgun,+0,One-handed,+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Blowgun Dart, 1",Pierce,Exotic Ranged,A long narrow tube that propels darts using the force of the force of the users's breath.,Indefinite,Innate
,,,,,,,,,,,,,,
Two-handed Sling,Sling,+0,Two-handed,+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Sling Bullet, 1",Bludgeon,Exotic Ranged,A flexible strap used to hurl small objects.,Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Thrown Slash Close Melee,Thrown Slash Close Melee,+0,One-handed,+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,"Self, 1",Slash,Close Melee,"Ninja stars, ect...",Indefinite,Innate
Dual-wielded Thrown Slash Close Melee,Thrown Slash Close Melee,+0,Dual-wielded,+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,"Self, 2",Slash,Close Melee,"Ninja stars, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Thrown Pierce Close Melee,Thrown Pierce Close Melee,+0,One-handed,+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,"Self, 1",Pierce,Close Melee,"Throwing daggers, ect...",Indefinite,Innate
Dual-wielded Thrown Pierce Close Melee,Thrown Pierce Close Melee,+0,Dual-wielded,+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,"Self, 2",Pierce,Close Melee,"Throwing daggers, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Thrown Hew Close Melee,Thrown Hew Close Melee,+0,One-handed,+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,"Self, 1",Hew,Close Melee,"Throwing hatchet, ect...",Indefinite,Innate
Dual-wielded Thrown Hew Close Melee,Thrown Hew Close Melee,+0,Dual-wielded,+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,"Self, 2",Hew,Close Melee,"Throwing hatchet, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Thrown Bludgeon Close Melee,Thrown Bludgeon Close Melee,+0,One-handed,+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,"Self, 1",Bludgeon,Close Melee,"Thrown small club, rocks, ect...",Indefinite,Innate
Dual-wielded Thrown Bludgeon Close Melee,Thrown Bludgeon Close Melee,+0,Dual-wielded,+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,"Self, 2",Bludgeon,Close Melee,"Thrown small club, rocks, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Thrown Medium Spear,Thrown Medium Spear,+0,One-handed,+1d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Self, 1",Pierce,Medium Melee,"Thrown Javelins, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Thrown Large Spear,Thrown Large Spear,+0,One-handed,+1d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,"Self, 1",Pierce,Large Melee,Thrown two-handed spears.,Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Muzzleloading Pistol,Muzzleloading Pistol,+0,One-handed,+2d6,4,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Extremely Slow,None,"Muzzleloading Pistol Cartridge, 1",Ballistic,Small Guns,"Flintlock pistols, ect...",Indefinite,Innate
Two-handed Muzzleloading Pistol,Muzzleloading Pistol,+0,Two-handed,+2d6,4,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Extremely Slow,None,"Muzzleloading Pistol Cartridge, 1",Ballistic,Small Guns,"Flintlock pistols, ect...",Indefinite,Innate
Dual-wielded Muzzleloading Pistol,Muzzleloading Pistol,+0,Dual-wielded,+3d6,4,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Painfully Slow,None,"Muzzleloading Pistol Cartridge, 2",Ballistic,Small Guns,"Flintlock pistols, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Arquebus,Arquebus,+0,One-handed,+0d6,5,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,"Arquebus Cartridge, 1",Ballistic,Medium Guns,Can be used as a Combat Roll.,Indefinite,Innate
Two-handed Arquebus,Arquebus,+0,Two-handed,+2d6,5,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,"Arquebus Cartridge, 1",Ballistic,Medium Guns,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,,
One-handed Musket,Musket,+0,One-handed,+0d6,5,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Painfully Slow,None,"Musket Cartridge, 1",Ballistic,Medium Guns,Flintlock smoothbore long guns.,Indefinite,Innate
Two-handed Musket,Musket,+0,Two-handed,+3d6,5,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Painfully Slow,None,"Musket Cartridge, 1",Ballistic,Medium Guns,Flintlock smoothbore long guns.,Indefinite,Innate
,,,,,,,,,,,,,,
One-handed 9mm Semi-automatic Pistol,9mm Semi-automatic Pistol,+0,One-handed,+2d6,6,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift +2,None,"9mm Round, 1",Ballistic,Small Guns,"Glock 17, ect...",Indefinite,Innate
Two-handed 9mm Semi-automatic Pistol,9mm Semi-automatic Pistol,+0,Two-handed,+2d6,6,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift +2,None,"9mm Round, 1",Ballistic,Small Guns,"Glock 17, ect...",Indefinite,Innate
Dual-wielded 9mm Semi-automatic Pistol,9mm Semi-automatic Pistol,+0,Dual-wielded,+3d6,6,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift +2,None,"9mm Round, 2",Ballistic,Small Guns,"Glock 17, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed 9mm Burst-fire Pistol,9mm Burst-fire Pistol,+0,One-handed,+3d6,6,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Swift +2,None,"9mm Round, 3",Ballistic,Small Guns,"Beretta 93R, ect...",Indefinite,Innate
Two-handed 9mm Burst-fire Pistol,9mm Burst-fire Pistol,+0,Two-handed,+3d6,6,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Swift +2,None,"9mm Round, 3",Ballistic,Small Guns,"Beretta 93R, ect...",Indefinite,Innate
Dual-wielded 9mm Burst-fire Pistol,9mm Burst-fire Pistol,+0,Dual-wielded,+4d6,6,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Swift +2,None,"9mm Round, 6",Ballistic,Small Guns,"Beretta 93R, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed 9mm Automatic Pistol,9mm Automatic Pistol,+0,One-handed,+3d6,6,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Rapid,None,"9mm Round, 6",Ballistic,Small Guns,"Glock 18, ect...",Indefinite,Innate
Two-handed 9mm Automatic Pistol,9mm Automatic Pistol,+0,Two-handed,+3d6,6,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Rapid,None,"9mm Round, 6",Ballistic,Small Guns,"Glock 18, ect...",Indefinite,Innate
Dual-wielded 9mm Automatic Pistol,9mm Automatic Pistol,+0,Dual-wielded,+4d6,6,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Rapid,None,"9mm Round, 12",Ballistic,Small Guns,"Glock 18, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed 12 Gauge Pump-action Shotgun with Buckshot 12 Gauge Shell,12 Gauge Pump-action Shotgun,+0,One-handed,+1d6,6,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift,None,"12 Gauge Shell, 1",Ballistic,Medium Guns,"Remington 870, Mossberg 500, ect...",Indefinite,Innate
Two-handed 12 Gauge Pump-action Shotgun with Buckshot 12 Gauge Shell,12 Gauge Pump-action Shotgun,+0,Two-handed,+3d6,6,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift,None,"12 Gauge Shell, 1",Ballistic,Medium Guns,"Remington 870, Mossberg 500, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed 5.56 Semi-automatic Rifle with FMJ 5.56 Round,5.56 Semi-automatic Rifle,+0,One-handed,+1d6,7,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Swift +2,None,"5.56 Round, 1",Ballistic,Medium Guns,"AR-15, ect...",Indefinite,Innate
Two-handed 5.56 Semi-automatic Rifle with FMJ 5.56 Round,5.56 Semi-automatic Rifle,+0,Two-handed,+3d6,7,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Swift +2,None,"5.56 Round, 1",Ballistic,Medium Guns,"AR-15, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed 5.56 Burst Rifle with FMJ 5.56 Round,5.56 Burst Rifle,+0,One-handed,+2d6,7,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Swift +2,None,"5.56 Round, 3",Ballistic,Medium Guns,"M16A2, ect...",Indefinite,Innate
Two-handed 5.56 Burst Rifle with FMJ 5.56 Round,5.56 Burst Rifle,+0,Two-handed,+4d6,7,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Swift +2,None,"5.56 Round, 3",Ballistic,Medium Guns,"M16A2, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed 5.56 Automatic Rifle with FMJ 5.56 Round,5.56 Automatic Rifle,+0,One-handed,+2d6,7,"Distant (Normal), Distant (Disadvantage), Distant (Super Disadvantage)",Rapid,None,"5.56 Round, 6",Ballistic,Medium Guns,"M4, ect...",Indefinite,Innate
Two-handed 5.56 Automatic Rifle with FMJ 5.56 Round,5.56 Automatic Rifle,+0,Two-handed,+4d6,7,"Distant (Normal), Distant (Disadvantage), Distant (Super Disadvantage)",Rapid,None,"5.56 Round, 6",Ballistic,Medium Guns,"M4, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed .308 Bolt Action Rifle with FMJ .308 Round,.308 Bolt Action Rifle,+0,One-handed,+1d6,8,"Sniper (Normal), Sniper (Disadvantage), Sniper (Super Disadvantage)",Quick,None,".308 Round, 1",Ballistic,Medium Guns,"Remington M700, ect...",Indefinite,Innate
Two-handed .308 Bolt Action Rifle with FMJ .308 Round,.308 Bolt Action Rifle,+0,Two-handed,+4d6,8,"Sniper (Normal), Sniper (Disadvantage), Sniper (Super Disadvantage)",Quick,None,".308 Round, 1",Ballistic,Medium Guns,"Remington M700, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed 5.56 Machine Gun with FMJ 5.56 Round,5.56 Machine Gun,+0,One-handed,-2d,7,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Rapid,None,"5.56 Round, 10",Ballistic,Heavy Guns,"M249, ect...",Indefinite,Innate
Two-handed 5.56 Machine Gun with FMJ 5.56 Round,5.56 Machine Gun,+0,Two-handed,+4d6,7,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Rapid,None,"5.56 Round, 10",Ballistic,Heavy Guns,"M249, ect...",Indefinite,Innate
,,,,,,,,,,,,,,
One-handed RPG Launcher with Explosive RPG Round,RPG Launcher,+0,One-handed,-2d,10,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Paced,30 ft Sphere,"RPG Round, 1",Shockwave,Heavy Guns,"RPG-7, ect...",Indefinite,Innate
Two-handed RPG Launcher with Explosive RPG Round,RPG Launcher,+0,Two-handed,+6d6,10,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Paced,30 ft Sphere,"RPG Round, 1",Shockwave,Heavy Guns,"RPG-7, ect...",Indefinite,Innate
