name,description,duration,source,performanceTime,governingSkillName,challengeLevel,optionalResourceAndAmount,optionalRanges,optionalAreaOfEffects
Hologram,"You conjure the likeness of an object, character, or other visible phenomenon no larger than a 15-foot cube. This illusion manifests within range and persists for the spell's duration. It remains purely visual, lacking any accompanying sound, smell, or other sensory aspects. Using your action, you can maneuver the illusion to any location within range. As it moves, you can adjust its appearance to mimic natural movements, such as walking for a creature. Physical interaction with the illusion reveals its true nature, as objects pass through it unhindered. A creature can use its action to scrutinize the illusion, potentially discerning its falseness with a successful Logic check against the Magic Skill Roll wins of this spell. Once the illusion is revealed, the creature can see through it.","Concentration, 10 minutes",Innate,~seconds,Light Magic,1,"Mana, 1","Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",None
Charm Humanoid,"You endeavor to enchant a humanoid that is within your visible range. The target is required to make a Will versus the Magic Skill Rolls of this spell, gaining advantage if already engaged in combat with you or your allies. A failed check results in the creature being charmed (Charmed Condition) by you until the spell's conclusion or until you or your allies take hostile actions towards it. The charmed humanoid perceives you as a friendly acquaintance. Upon the conclusion of the spell, the creature becomes aware that it was under the influence of your charm. At Higher Magic Resource: For each magic resource consumed above it's normal requirement, you can select an additional character to target.",1 hour,Innate,~seconds,Mind Magic,1,"Mana, 1","Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",None
Oil Spill,"Slick flammable greasy oil covers the ground in a circle centered on a point within range and turns it into difficult terrain for the duration. The circle has an Area Of Effect of Sphere Calculation. When the oil appears, each creature standing in its area must succeed on an Dexterity Check or fall prone. A creature that enters the area or ends its turn there must also succeed on a Dexterity Check or fall prone.",1 minute,Innate,~seconds,Earth Magic,1,"Mana, 1","Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Medium Sphere Calculation
Leap,"You touch a character, temporarily granting the creature the ability to jump 3 times farther than usual. The distance they can vertically jump also becomes the distance they can fall without incurring damage. Any distance beyond that counts as normal falling distance.",1 minute,Innate,~seconds,Air Magic,1,"Mana, 1",Melee,None
Slow Fall,"Choose characters within range. A falling character's rate of descent slows to 10 feet per second. If the creature lands before the effect ends, it takes no falling damage and can land on its feet, and the effect for that creature.",1 minute,Innate,~seconds,Gravity Magic,1,"Mana, 1","Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",None
Entangle,"Within range, verdant vines and resilient weeds surge forth, covering a 20-foot square area with dense foliage. Throughout the spell's duration, the ground in this zone transforms into difficult terrain. Any creature caught within the area upon casting must pass a Lift Check versus the spell's wins or restrained condition by the entwining plants until the spell concludes. A creature entangled can use its action to attempt a Lift check versus the spell's Wins. If successful, it breaks free. Once the spell dissipates, the summoned foliage withers and fades away.","Concentration, 1 minute",Innate,~seconds,Nature Magic,1,"Mana, 1","Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",None
,,,,,,,,,
Create Healing Blood,"Creates a Vial of Minor Healing Factor Blood or Vial of Healing Blood. At Higher Magic Resource, for each additional Magic Resource spent an 1 additional vials worth of this Healing Blood can be created.",Instantaneous,Innate,~seconds,Blood Magic,2,"Mana, 2",Melee,None
Magical Resistance,"Depending on the Magic Skill used, the character gain a Minor Resistance to damage types, with the Narrator's approval. A character using Mind Magic could gain Minor Resistance to Psychic damage. A character using Cold Magic could gain Minor Resistance to Cold damage. A character with Earth Magic could harden their skin with stone and gain access to Minor Resistance to Slash, Hew, and Pierce damage. A character with Nature Magic could cover themselves with bark and gain Minor Resistance to Bludgeon, Pierce, and Slash damage, but could gain an equivalent Minor Weakness to Fire damage.",1 hour,Innate,~seconds,Any Magic,2,"Mana, 2",Self,None
Ranged Healing,"Choose a creature within your sight and within the spell's range; it receives Minor Healing. Note that this spell only heals living biological characters, it does not affect undead or constructs. At Higher Magic Resource, for each additional Magic Resource spent over base amount, healing tier increases.",Instantaneous,Innate,~seconds,Life Magic,2,"Mana, 2","Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",None
Hold Humanoid,"Select a humanoid visible within the spell's range. The chosen target must make a successful Will saving throw or become paralyzed for the duration of the spell. At the conclusion of each of its turns, the affected creature has the opportunity to make another Will saving throw. If successful, the spell concludes on that specific target.

At Higher Magic Resource: For each magic resource consumed above it's normal requirement, you can select an additional character to target.","Concentration, 1 minute",Innate,~seconds,Mind Magic,2,"Mana, 2","Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",None
Short Teleport,Character teleports themself to an unoccupied space that they can see.,Instantaneous,Innate,~seconds,Teleport Magic,2,"Mana, 2","Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",None
Invisibility,"The character casting this spell can touch a character turning them invisible, including all equipment as long as it is being held. The invisibility is ceased if the invisible character attacks another or casts a spell. For each CL cast higher than 2, target 1 additional character.","Concentration, 1 hour",Innate,~seconds,Light Magic,2,"Mana, 2",Melee,None
Read Thoughts,"During the spell's effect, you gain the ability to perceive the thoughts of specific creatures. When you cast the spell you can concentrate your mental focus on any visible creature within the spell's range. If the chosen creature possesses an -2 INT or lacks the ability to communicate through language, the spell has no effect. Initially, you access the surface thoughts of the creature, revealing its predominant concerns at that moment. You have the option to shift your attention to another creature's thoughts or delve deeper into the same creature's mind. When probing deeper, the targeted creature must succeed on a Will check versus the CL of the spell. Failure allows you to glean insights into its reasoning, emotional state, and significant preoccupations (such as worries, affections, or aversions). If successful, the spell terminates. Regardless of the outcome, the targeted creature becomes aware of your mental probing. Unless you shift your focus to another creature's thoughts, the creature can use its action on its turn to initiate an Intelligence contest against your own; success terminates the spell. This spell proves particularly effective in interrogations, as questions directed at the target creature naturally influence its thought patterns. Additionally, you can employ this spell to detect the presence of thinking creatures that are not visible to you. When casting the spell or as your action during its duration, you can scan for thoughts within the spells range. The spell can penetrate barriers, but 2 feet of rock, 2 inches of any metal other than lead, or a thin sheet of lead obstruct the ability. Creatures with an -2 INT or those lacking any language are undetectable. Upon detecting the presence of a creature using this method, you can read its thoughts for the remainder of the duration, following the same rules as described earlier, even if the creature is out of sight but still within range.","Concentration, 1 minute",Innate,~seconds,Mind Magic,2,"Mana, 2","Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",None
Create Voice Triggered Effect,You create a magical trigger tied to a specific sound or spoken phrase. This magical effect is tied to a primary magical effect. It dissipates once the primary magical effect has dissipated.,Indefinite,Innate,1 hour,Sound Magic,2,"Mana, 2",Melee,None
,,,,,,,,,
Manifest Wings,Character grows wings and gains the Flight Movement Speed effect.,"Concentration, 10 minutes",Innate,~seconds,Bodily Magic,3,"Mana, 3",Self,None
Beastial Transformation,"Character undergoes a transformation, becoming more beast like. Character can gain either a +1 to STR or RFX. However, they also gain a -1 to INT as their rational mind has become more beastlike.","Concentration, 1 hour",Innate,~seconds,Bodily Magic,3,"Mana, 3",Self,None
,,,,,,,,,
Create Flame Tongued Weapon,"Through a laborious ritual you apply the following effect to a weapon of your choice. When activated, causes flames to erupt from the blade. These flames shed bright light in a 40-foot radius and dim light for an additional 40 feet. This sword gains the Fire damage type, and loses the Bleed damage type. The flames last until you  speak the command word again or until you drop or sheathe the sword. The blade can only be ignited as long as it is above 3 durability. The sword can be submerged in fire to repair the blade.",Indefinite,Innate,1 hour,Fire Magic,5,"Mana, 5",Melee,None
