name,description,source,duration,variation,Type,optionalResourceAndAmount,baseDiceAdjustment,dicePoolModifier,penetration,ranges,usesPerRound,optionalAreaOfEffects,damageTypes,governingSkillName
Dual-wielded Bludgeon Close Melee,"Small club, crowbars, gauntlets, ect... Can be used in a Grapple.",Innate,Indefinite,Dual-wielded,Bludgeon Close Melee,None,-1,+1d6,2,Melee,Swift +1,None,Bludgeon,Close Melee
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Hew Medium Melee,"Battleaxes, large creature claws, ect...",Innate,Indefinite,One-handed,Hew Medium Melee,None,+1,+1d6,1,Melee,Swift,None,Hew,Medium Melee
Two-handed Hew Medium Melee,"Battleaxes, large creature claws, ect...",Innate,Indefinite,Two-handed,Hew Medium Melee,None,+1,+2d6,1,Melee,Swift,None,Hew,Medium Melee
Dual-wielded Hew Medium Melee,"Battleaxes, large creature claws, ect...",Innate,Indefinite,Dual-wielded,Hew Medium Melee,None,+1,+2d6,1,Melee,Swift +1,None,Hew,Medium Melee
,,,,,,,,,,,,,,
One-handed Slash Medium Melee,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, ect...",Innate,Indefinite,One-handed,Slash Medium Melee,None,+1,+1d6,1,Melee,Swift,None,Slash,Medium Melee
Two-handed Slash Medium Melee,"Bastard Sword, Medium swords with two-handed grips, ect...",Innate,Indefinite,Two-handed,Slash Medium Melee,None,+1,+2d6,1,Melee,Swift,None,Slash,Medium Melee
Dual-wielded Slash Medium Melee,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, ect...",Innate,Indefinite,Dual-wielded,Slash Medium Melee,None,+1,+2d6,1,Melee,Swift +1,None,Slash,Medium Melee
,,,,,,,,,,,,,,
One-handed Pierce Medium Melee,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, War pick, war hammer's spike, ect...",Innate,Indefinite,One-handed,Pierce Medium Melee,None,+0,+1d6,2,Melee,Swift,None,Pierce,Medium Melee
Two-handed Pierce Medium Melee,"Bastard Sword, Medium swords with two-handed grips, War pick, war hammer's spike, ect...",Innate,Indefinite,Two-handed,Pierce Medium Melee,None,+0,+2d6,2,Melee,Swift,None,Pierce,Medium Melee
Dual-wielded Pierce Medium Melee,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, War pick, war hammer's spike, ect...",Innate,Indefinite,Dual-wielded,Pierce Medium Melee,None,+0,+2d6,2,Melee,Swift +1,None,Pierce,Medium Melee
,,,,,,,,,,,,,,
One-handed Bludgeon Medium Melee,"War hammer, mace, large creature smash, ect...",Innate,Indefinite,One-handed,Bludgeon Medium Melee,None,-1,+1d6,3,Melee,Swift,None,Bludgeon,Medium Melee
Two-handed Bludgeon Medium Melee,"War hammer, mace, large creature smash, ect...",Innate,Indefinite,Two-handed,Bludgeon Medium Melee,None,-1,+2d6,3,Melee,Swift,None,Bludgeon,Medium Melee
Dual-wielded Bludgeon Medium Melee,"War hammer, mace, large creature smash, ect...",Innate,Indefinite,Dual-wielded,Bludgeon Medium Melee,None,-1,+2d6,3,Melee,Swift +1,None,Bludgeon,Medium Melee
,,,,,,,,,,,,,,
One-handed Medium Spear,"Javelin, short spear, large creature horns, ect...",Innate,Indefinite,One-handed,Medium Spear,None,+2,+1d6,2,Melee,Quick,None,Pierce,Medium Melee
Dual-wielded Medium Spear,"Javelin, short spear, large creature horns, ect...",Innate,Indefinite,Dual-wielded,Medium Spear,None,+2,+2d6,2,Melee,Quick,None,Pierce,Medium Melee
,,,,,,,,,,,,,,
One-handed Whip,"Bullwhips, ect... Disadvantage while in confined spaces.",Innate,Indefinite,One-handed,Whip,None,+0,+0d6,0,Reach,Swift,None,Slash,Exotic Melee
Dual-wielded Whip,"Bullwhips, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Dual-wielded,Whip,None,+0,+1d6,0,Reach,Swift +1,None,Slash,Exotic Melee
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Hew Large Melee,"Dane axe, short poleaxe axehead, short halberd, ect...",Innate,Indefinite,One-handed,Hew Large Melee,None,+1,+0d6,1,Melee,Swift,None,Hew,Large Melee
Two-handed Hew Large Melee,"Dane axe, short poleaxe axehead, short halberd, ect...",Innate,Indefinite,Two-handed,Hew Large Melee,None,+1,+2d6,2,Melee,Swift,None,Hew,Large Melee
,,,,,,,,,,,,,,
One-handed Slash Large Melee,"Longsword, Ōdachi, ect...",Innate,Indefinite,One-handed,Slash Large Melee,None,+1,+0d6,1,Melee,Swift,None,Slash,Large Melee
Two-handed Slash Large Melee,"Longsword, Ōdachi, ect...",Innate,Indefinite,Two-handed,Slash Large Melee,None,+1,+2d6,2,Melee,Swift,None,Slash,Large Melee
,,,,,,,,,,,,,,
One-handed Pierce Large Melee,"Longsword, Ōdachi, Bec de corbin spike, ect...",Innate,Indefinite,One-handed,Pierce Large Melee,None,+0,+0d6,2,Melee,Swift,None,Pierce,Large Melee
Two-handed Pierce Large Melee,"Longsword, Ōdachi, Bec de corbin spike, ect...",Innate,Indefinite,Two-handed,Pierce Large Melee,None,+0,+2d6,3,Melee,Swift,None,Pierce,Large Melee
,,,,,,,,,,,,,,
One-handed Bludgeon Large Melee,"Two-handed Mace, maul, ect...",Innate,Indefinite,One-handed,Bludgeon Large Melee,None,-1,+0d6,3,Melee,Swift,None,Bludgeon,Large Melee
Two-handed Bludgeon Large Melee,"Two-handed Mace, maul, ect...",Innate,Indefinite,Two-handed,Bludgeon Large Melee,None,-1,+2d6,4,Melee,Swift,None,Bludgeon,Large Melee
,,,,,,,,,,,,,,
One-handed Large Spear,"Two-handed spear, ect...",Innate,Indefinite,One-handed,Large Spear,None,+2,+0d6,2,Melee,Quick,None,Pierce,Large Melee
Two-handed Large Spear,"Two-handed spear, ect...",Innate,Indefinite,Two-handed,Large Spear,None,+2,+2d6,3,Melee,Quick,None,Pierce,Large Melee
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Hew Reach Melee,"Poleaxe's axe head, halberd's axe head, glaive, ect...  Disadvantage while in confined spaces.",Innate,Indefinite,One-handed,Hew Reach Melee,None,+1,-1d,1,Reach,Swift,None,Hew,Reach Melee
Two-handed Hew Reach Melee,"Poleaxe's axe head, halberd's axe head, glaive, ect...  Disadvantage while in confined spaces.",Innate,Indefinite,Two-handed,Hew Reach Melee,None,+1,+3d6,2,Reach,Swift,None,Hew,Reach Melee
,,,,,,,,,,,,,,
One-handed Slash Reach Melee,"Greatsword, zweihänder, naginata, ect... Disadvantage while in confined spaces.",Innate,Indefinite,One-handed,Slash Reach Melee,None,+1,-1d,1,Reach,Swift,None,Slash,Reach Melee
Two-handed Slash Reach Melee,"Greatsword, zweihänder, naginata, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Two-handed,Slash Reach Melee,None,+1,+3d6,2,Reach,Swift,None,Slash,Reach Melee
,,,,,,,,,,,,,,
One-handed Pierce Reach Melee,"Greatsword, zweihänder, naginata, halberd's spike, ect... Disadvantage while in confined spaces.",Innate,Indefinite,One-handed,Pierce Reach Melee,None,+0,-1d,2,Reach,Swift,None,Pierce,Reach Melee
Two-handed Pierce Reach Melee,"Greatsword, zweihänder, naginata, halberd's spike, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Two-handed,Pierce Reach Melee,None,+0,+3d6,3,Reach,Swift,None,Pierce,Reach Melee
,,,,,,,,,,,,,,
One-handed Bludgeon Reach Melee,"Poleaxe hammer, ect... Disadvantage while in confined spaces.",Innate,Indefinite,One-handed,Bludgeon Reach Melee,None,-1,-1d,3,Reach,Swift,None,Bludgeon,Reach Melee
Two-handed Bludgeon Reach Melee,"Poleaxe hammer, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Two-handed,Bludgeon Reach Melee,None,-1,+3d6,4,Reach,Swift,None,Bludgeon,Reach Melee
,,,,,,,,,,,,,,
One-handed Reach Spear,"Pike, lance, ect... Disadvantage while in confined spaces.",Innate,Indefinite,One-handed,Reach Spear,None,+2,-1d,2,Reach,Steady,None,Pierce,Reach Melee
Two-handed Reach Spear,"Pike, lance, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Two-handed,Reach Spear,None,+2,+3d6,3,Reach,Steady,None,Pierce,Reach Melee
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Thrown Hew Close Melee,"Throwing hatchet, ect...",Innate,Indefinite,One-handed,Thrown Hew Close Melee,"Thrown Hew Close Melee , 1",+1,+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,Hew,Close Melee
Dual-wielded Thrown Hew Close Melee,"Throwing hatchet, ect...",Innate,Indefinite,Dual-wielded,Thrown Hew Close Melee,"Thrown Hew Close Melee , 2",+1,+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Hew,Close Melee
,,,,,,,,,,,,,,
One-handed Thrown Slash Close Melee,"Ninja stars, ect...",Innate,Indefinite,One-handed,Thrown Slash Close Melee,"Thrown Slash Close Melee, 1",+1,+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,Slash,Close Melee
Dual-wielded Thrown Slash Close Melee,"Ninja stars, ect...",Innate,Indefinite,Dual-wielded,Thrown Slash Close Melee,"Thrown Slash Close Melee, 2",+1,+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Slash,Close Melee
,,,,,,,,,,,,,,
One-handed Thrown Pierce Close Melee,"Throwing daggers, ect...",Innate,Indefinite,One-handed,Thrown Pierce Close Melee,"Thrown Pierce Close Melee, 1",+0,+0d6,1,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,Pierce,Close Melee
Dual-wielded Thrown Pierce Close Melee,"Throwing daggers, ect...",Innate,Indefinite,Dual-wielded,Thrown Pierce Close Melee,"Thrown Pierce Close Melee, 2",+0,+1d6,1,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Pierce,Close Melee
,,,,,,,,,,,,,,
One-handed Thrown Bludgeon Close Melee,"Thrown small club, rocks, ect...",Innate,Indefinite,One-handed,Thrown Bludgeon Close Melee,"Thrown Bludgeon Close Melee, 1",-1,+0d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,Bludgeon,Close Melee
Dual-wielded Thrown Bludgeon Close Melee,"Thrown small club, rocks, ect...",Innate,Indefinite,Dual-wielded,Thrown Bludgeon Close Melee,"Thrown Bludgeon Close Melee, 2",-1,+1d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Bludgeon,Close Melee
,,,,,,,,,,,,,,
One-handed Thrown Medium Spear,"Thrown Javelins, ect...",Innate,Indefinite,One-handed,Thrown Medium Spear,"Thrown Medium Spear, 1",+0,+1d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Pierce,Medium Melee
,,,,,,,,,,,,,,
One-handed Thrown Large Spear,Thrown two-handed spears.,Innate,Indefinite,One-handed,Thrown Large Spear,"Thrown Large Spear, 1",+0,+1d6,3,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Pierce,Large Melee
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Blowgun with Poison Blowgun Dart,A long narrow tube that propels darts using the force of the force of the users's breath.,Innate,Indefinite,One-handed,Blowgun,"Poison Blowgun Dart, 1",+0,+1d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Poison,Exotic Ranged
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Sling with Standard Sling Bullet,A flexible strap used to hurl small objects.,Innate,Indefinite,One-handed,Sling,"Standard Sling Bullet, 1",+0,+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Bludgeon,Exotic Ranged
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Hand Crossbow with Barbed Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,One-handed,Hand Crossbow,"Barbed Hand Bolt, 1",+1,+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Pierce, Bleed",Hand Crossbow
Two-handed Hand Crossbow with Barbed Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,Two-handed,Hand Crossbow,"Barbed Hand Bolt, 1",+1,+0d6,0,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None,"Pierce, Bleed",Hand Crossbow
Dual-wielded Hand Crossbow with Barbed Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,Dual-wielded,Hand Crossbow,"Barbed Hand Bolt, 2",+1,+1d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None,"Pierce, Bleed",Hand Crossbow
,,,,,,,,,,,,,,
One-handed Hand Crossbow with Broadhead Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,One-handed,Hand Crossbow,"Broadhead Hand Bolt, 1",+0,+0d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Pierce,Hand Crossbow
Two-handed Hand Crossbow with Broadhead Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,Two-handed,Hand Crossbow,"Broadhead Hand Bolt, 1",+0,+0d6,1,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None,Pierce,Hand Crossbow
Dual-wielded Hand Crossbow with Broadhead Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,Dual-wielded,Hand Crossbow,"Broadhead Hand Bolt, 2",+0,+1d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None,Pierce,Hand Crossbow
,,,,,,,,,,,,,,
One-handed Hand Crossbow with Bodkin Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,One-handed,Hand Crossbow,"Bodkin Hand Bolt, 1",-1,+0d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Pierce,Hand Crossbow
Two-handed Hand Crossbow with Bodkin Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,Two-handed,Hand Crossbow,"Bodkin Hand Bolt, 1",-1,+0d6,2,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None,Pierce,Hand Crossbow
Dual-wielded Hand Crossbow with Bodkin Hand Bolt,Small crossbows designed to be held in one hand.,Innate,Indefinite,Dual-wielded,Hand Crossbow,"Bodkin Hand Bolt, 2",-1,+1d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None,Pierce,Hand Crossbow
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Light Crossbow with Barbed Light Bolt,"Crossbows balancing power and reload time. ",Innate,Indefinite,One-handed,Light Crossbow,"Barbed Light Bolt, 1",+1,+0d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,"Pierce, Bleed",Light Crossbow
Two-handed Light Crossbow with Barbed Light Bolt,"Crossbows balancing power and reload time. ",Innate,Indefinite,Two-handed,Light Crossbow,"Barbed Light Bolt, 1",+1,+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,"Pierce, Bleed",Light Crossbow
,,,,,,,,,,,,,,
One-handed Light Crossbow with Broadhead Light Bolt,"Crossbows balancing power and reload time. ",Innate,Indefinite,One-handed,Light Crossbow,"Broadhead Light Bolt, 1",+0,+0d6,2,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Pierce,Light Crossbow
Two-handed Light Crossbow with Broadhead Light Bolt,"Crossbows balancing power and reload time. ",Innate,Indefinite,Two-handed,Light Crossbow,"Broadhead Light Bolt, 1",+0,+1d6,2,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Pierce,Light Crossbow
,,,,,,,,,,,,,,
One-handed Light Crossbow with Bodkin Light Bolt,"Crossbows balancing power and reload time. ",Innate,Indefinite,One-handed,Light Crossbow,"Bodkin Light Bolt, 1",-1,+0d6,3,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Pierce,Light Crossbow
Two-handed Light Crossbow with Bodkin Light Bolt,"Crossbows balancing power and reload time. ",Innate,Indefinite,Two-handed,Light Crossbow,"Bodkin Light Bolt, 1",-1,+1d6,3,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Pierce,Light Crossbow
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Two-handed Heavy Crossbow with Barbed Heavy Bolt,Crossbows designed for maximum power disregarding reload time.,Innate,Indefinite,Two-handed,Heavy Crossbow,"Barbed Heavy Bolt, 1",+1,+2d6,2,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Pierce,Heavy Crossbow
,,,,,,,,,,,,,,
Two-handed Heavy Crossbow with Broadhead Heavy Bolt,Crossbows designed for maximum power disregarding reload time.,Innate,Indefinite,Two-handed,Heavy Crossbow,"Broadhead Heavy Bolt, 1",+0,+2d6,3,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Pierce,Heavy Crossbow
,,,,,,,,,,,,,,
Two-handed Heavy Crossbow with Bodkin Heavy Bolt,Crossbows designed for maximum power disregarding reload time.,Innate,Indefinite,Two-handed,Heavy Crossbow,"Bodkin Heavy Bolt, 1",-1,+2d6,4,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Pierce,Heavy Crossbow
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Two-handed Light Bow with Barbed Light Arrow,Bows favoring easier drawing versus power.,Innate,Indefinite,Two-handed,Light Bow,"Barbed Light Arrow, 1",+1,+1d6,0,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,Pierce,Light Bow
,,,,,,,,,,,,,,
Two-handed Light Bow with Broadhead Light Arrow,Bows favoring easier drawing versus power.,Innate,Indefinite,Two-handed,Light Bow,"Broadhead Light Arrow, 1",+0,+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,Pierce,Light Bow
,,,,,,,,,,,,,,
Two-handed Light Bow with Bodkin Light Arrow,Bows favoring easier drawing versus power.,Innate,Indefinite,Two-handed,Light Bow,"Bodkin Light Arrow, 1",-1,+1d6,2,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,Pierce,Light Bow
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Two-handed Heavy Bow with Barbed Heavy Arrow,Bows favoring power over easier drawing. Requires a minimum of 1 STR to draw.,Innate,Indefinite,Two-handed,Heavy Bow,"Barbed Heavy Arrow, 1",+1,+2d6,2,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,Pierce,Heavy Bow
,,,,,,,,,,,,,,
Two-handed Heavy Bow with Broadhead Heavy Arrow,Bows favoring power over easier drawing. Requires a minimum of 1 STR to draw.,Innate,Indefinite,Two-handed,Heavy Bow,"Broadhead Heavy Arrow, 1",+0,+2d6,3,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,Pierce,Heavy Bow
,,,,,,,,,,,,,,
Two-handed Heavy Bow with Bodkin Heavy Arrow,Bows favoring power over easier drawing. Requires a minimum of 1 STR to draw.,Innate,Indefinite,Two-handed,Heavy Bow,"Bodkin Heavy Arrow, 1",-1,+2d6,4,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,Pierce,Heavy Bow
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
One-handed Muzzleloading Pistol with Muzzleloading Pistol Cartridge,"Flintlock pistols, ect...",Innate,Indefinite,One-handed,Muzzleloading Pistol,"Muzzleloading Pistol Cartridge, 1",+0,+2d6,3,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Extremely Slow,None,Ballistic,Small Guns
Two-handed Muzzleloading Pistol with Muzzleloading Pistol Cartridge,"Flintlock pistols, ect...",Innate,Indefinite,Two-handed,Muzzleloading Pistol,"Muzzleloading Pistol Cartridge, 1",+0,+2d6,3,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Extremely Slow,None,Ballistic,Small Guns
Dual-wielded Muzzleloading Pistol with Muzzleloading Pistol Cartridge,"Flintlock pistols, ect...",Innate,Indefinite,Dual-wielded,Muzzleloading Pistol,"Muzzleloading Pistol Cartridge, 2",+0,+3d6,3,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Painfully Slow,None,Ballistic,Small Guns
,,,,,,,,,,,,,,
One-handed Arquebus with Arquebus Cartridge,Can be used as a Combat Roll.,Innate,Indefinite,One-handed,Arquebus,"Arquebus Cartridge, 1",+0,+0d6,4,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Ballistic,Medium Guns
Two-handed Arquebus with Arquebus Cartridge,Can be used as a Combat Roll.,Innate,Indefinite,Two-handed,Arquebus,"Arquebus Cartridge, 1",+0,+2d6,4,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Ballistic,Medium Guns
,,,,,,,,,,,,,,
One-handed Musket with Musket Cartridge,Flintlock smoothbore long guns.,Innate,Indefinite,One-handed,Musket,"Musket Cartridge, 1",+0,+0d6,5,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Painfully Slow,None,Ballistic,Medium Guns
Two-handed Musket with Musket Cartridge,Flintlock smoothbore long guns.,Innate,Indefinite,Two-handed,Musket,"Musket Cartridge, 1",+0,+3d6,5,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Painfully Slow,None,Ballistic,Medium Guns
,,,,,,,,,,,,,,
One-handed 9mm Semi-automatic Pistol with FMJ 9mm Round,"Glock 17, ect...",Innate,Indefinite,One-handed,9mm Semi-automatic Pistol,"FMJ 9mm Round, 1",+0,+2d6,5,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift +2,None,Ballistic,Small Guns
Two-handed 9mm Semi-automatic Pistol with FMJ 9mm Round,"Glock 17, ect...",Innate,Indefinite,Two-handed,9mm Semi-automatic Pistol,"FMJ 9mm Round, 1",+0,+2d6,5,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift +2,None,Ballistic,Small Guns
Dual-wielded 9mm Semi-automatic Pistol with FMJ 9mm Round,"Glock 17, ect...",Innate,Indefinite,Dual-wielded,9mm Semi-automatic Pistol,"FMJ 9mm Round, 2",+0,+3d6,5,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift +2,None,Ballistic,Small Guns
,,,,,,,,,,,,,,
One-handed 9mm Burst-fire Pistol with FMJ 9mm Round,"Beretta 93R, ect...",Innate,Indefinite,One-handed,9mm Burst-fire Pistol,"FMJ 9mm Round, 3",+0,+3d6,5,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Swift +2,None,Ballistic,Small Guns
Two-handed 9mm Burst-fire Pistol with FMJ 9mm Round,"Beretta 93R, ect...",Innate,Indefinite,Two-handed,9mm Burst-fire Pistol,"FMJ 9mm Round, 3",+0,+3d6,5,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Swift +2,None,Ballistic,Small Guns
Dual-wielded 9mm Burst-fire Pistol with FMJ 9mm Round,"Beretta 93R, ect...",Innate,Indefinite,Dual-wielded,9mm Burst-fire Pistol,"FMJ 9mm Round, 6",+0,+4d6,5,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Swift +2,None,Ballistic,Small Guns
,,,,,,,,,,,,,,
One-handed 9mm Automatic Pistol with FMJ 9mm Round,"Glock 18, ect...",Innate,Indefinite,One-handed,9mm Automatic Pistol,"FMJ 9mm Round, 6",+0,+3d6,5,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Rapid,None,Ballistic,Small Guns
Two-handed 9mm Automatic Pistol with FMJ 9mm Round,"Glock 18, ect...",Innate,Indefinite,Two-handed,9mm Automatic Pistol,"FMJ 9mm Round, 6",+0,+3d6,5,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Rapid,None,Ballistic,Small Guns
Dual-wielded 9mm Automatic Pistol with FMJ 9mm Round,"Glock 18, ect...",Innate,Indefinite,Dual-wielded,9mm Automatic Pistol,"FMJ 9mm Round, 12",+0,+4d6,5,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Rapid,None,Ballistic,Small Guns
,,,,,,,,,,,,,,
