name,description,duration,source
Combat Modifier: Three-quarters Cover,"A target can benefit from cover only when an attack or other effect originates on the opposite side of the cover. A target has three-quarters cover if about three-quarters of it is covered by an obstacle. The obstacle might be a portcullis, an arrow slit, or a thick tree trunk. Gains Serious Resistance to all damage types.",Indefinite,"Tree trunks, walls, barriers, ect."
Combat Modifier: Full Cover,"A target can benefit from cover only when an attack or other effect originates on the opposite side of the cover. A target with total cover can't be targeted directly by an attack, although some spells can reach such a target by including it in an area of effect. A target has total cover if it is completely concealed by an obstacle.",Indefinite,"Tree trunks, walls, barriers, ect."
,,,
,,,
Condition: Staggered,Disadvantage on STR/RFX governed Dice Pool rolls. All Movement Speeds are halved.,1 Round,?
Condition: Blinded,"Disadvantage on Dice Pool rolls that majorly relies on sight (i.e. Combat Rolls, Evasion Rolls, Dexterity, Athletics, etc...). Automatically fails any check that requires sight.",1 Round,?
Condition: Charmed,Disadvantage on Dice Pool rolls that involve resisting the charmer's influence. Can't cause harm to the charmer.,1 Round,?
Condition: Deafened,Disadvantage on Dice Pool rolls that majorly relies on hearing. Automatically fails any Dice Pool rolls that requires hearing.,1 Round,?
Condition: Frightened,Disadvantage on all Dice Pool rolls while the source of the fear is within line of sight. Can't willingly move closer towards the source of fear.,1 Round,?
Condition: Invisible,"Disadvantage on Combat Rolls against this character if they majorly rely on sight. Impossible to see via traditional sight and is considered Heavily Obscured. Can still be detected via hearing, touch, smell, other special senses, or magic senses.",1 Round,?
Condition: Grappled,"Disadvantage on STR/RFX governed Dice Pool rolls, except for contested checks against the grappler while this character is applying the Grappled condition back. Can't move, except through Victory Level outcomes or contested checks. Combat Rolls, unless otherwise specified, are considered an Unarmed Combat Roll versus the grappler. Close Melee Combat Rolls are NOT counted as Unarmed Combat Rolls versus the grappler. Medium Melee Combat Rolls are NOT counted as Unarmed Combat Rolls if the grappler is using a Reach Range Melee Combat Roll. Defense from armor is not applicable if narratively bypassable by the grappler. Ends if the grappler is Physically Incapacitated or let's go.",Indefinite,?
Condition: Prone,"Disadvantage on STR/RFX governed Dice Pool rolls that generally assumes a character is standing (i.e. Combat Rolls, Evasion Rolls, Dexterity, Athletics, etc...). Disadvantage on ranged Combat Rolls made against a Prone character if the Narrator believes they would be smaller target. For instance, shooting a prone opponent 10 feet away wouldn't have Disadvantage. However, shooting a prone sniper at range who is making themselves a small target would incur Disadvantage. Only able to crawl using their Climb Movement Speed.",Indefinite,?
Condition: Restrained,Disadvantage on STR/RFX governed Dice Pool rolls. Can't move.,Indefinite,?
Condition: Physically Incapacitated,Automatically fail STR/RFX governed Dice Pool rolls. Can't move.,Indefinite,?
Condition: Stunned,Physically Incapacitated (see the Narrative Effect). Can't coherently speak.,1 Round,?
Condition: Paralyzed,Physically Incapacitated (see the Narrative Effect). Can't speak. Aware of surroundings. The character becomes rigid.,Indefinite,?
Condition: Unconscious,Physically Incapacitated (see the Narrative Effect). Can't speak. Unaware of surroundings. The character drops whatever they are holding and falls prone (see the Narrative Effect).,Indefinite,?
Condition: Petrified,"Physically Incapacitated (see the Narrative Effect). Character is transformed, along with any non-magical object it is wearing or carrying, into a solid inanimate substance (usually stone). Its weight increases by a factor of ten, and it ceases aging. Can't speak. Serious Resistance to all damage. Complete Resistance to poison, necrosis, and disease, although a poison, necrosis, or disease already in its system is suspended, not neutralized.",Indefinite,?
,,,
,,,
Condition Immunity: Staggered,Character is immune to the Staggered condition.,Indefinite,Innate
Condition Immunity: Blinded,Character is immune to the Blinded condition.,Indefinite,Innate
Condition Immunity: Charmed,Character is immune to the Charmed condition.,Indefinite,Innate
Condition Immunity: Deafened,Character is immune to the Deafened condition.,Indefinite,Innate
Condition Immunity: Frightened,Character is immune to the Frightened condition.,Indefinite,Innate
Condition Immunity: Invisible,Character is immune to the Invisible condition.,Indefinite,Innate
Condition Immunity: Grappled,Character is immune to the Grappled condition.,Indefinite,Innate
Condition Immunity: Prone,Character is immune to the Prone condition.,Indefinite,Innate
Condition Immunity: Restrained,Character is immune to the Restrained condition.,Indefinite,Innate
Condition Immunity: Physically Incapacitated,Character is immune to the Physically Incapacitated condition.,Indefinite,Innate
Condition Immunity: Stunned,Character is immune to the Stunned condition.,Indefinite,Innate
Condition Immunity: Paralyzed,Character is immune to the Paralyzed condition.,Indefinite,Innate
Condition Immunity: Unconscious,Character is immune to the Unconscious condition.,Indefinite,Innate
Condition Immunity: Petrified,Character is immune to the Petrified condition.,Indefinite,Innate
,,,
,,,
Disabling: Amnesia,Character is missing a large portion of their past.,Indefinite,Backstory
Disabling: Missing bodily extremity/limb,STR and RFX dice penalties when performing tasks requiring 2 hands.,Indefinite,Backstory
Disabling: Feeble,STR is set to -1,Indefinite,Backstory
Disabling: Heavy,RFX is set to -1,Indefinite,Backstory
Disabling: Dim-witted,INT is set to -1,Indefinite,Backstory
Disabling: Phobia,Debilitating fear of ?.,Indefinite,Backstory
Disabling: Extreme Prejudice,Overwhelming hatred/disgust of ?.,Indefinite,Backstory
Disabling: Compulsive Liar,Compulsion to lie about self-aggrandizing claims/achievements.,Indefinite,Backstory
Disabling: Kleptomaniac,Desire to steal most things regardless of value.,Indefinite,Backstory
Disabling: Betrayal Paranoia,Extreme belief that every person met will betray them.,Indefinite,Backstory
Disabling: Government Paranoia,Extreme belief that the ruling class is run by an evil cult.,Indefinite,Backstory
Disabling: Superstition Paranoia,Extreme belief in common superstition and old wives tales.,Indefinite,Backstory
Disabling: Paranoia,Irrational belief that ...,Indefinite,Backstory
Disabling: Over-emotional (specific emotion),,Indefinite,Backstory
Disabling: Loose Cannon,Overwhelming predisposition towards rage/anger.,Indefinite,Backstory
Disabling: Incontrollable Grief,Overwhelming grief that is triggered reminder of past trauma.,Indefinite,Backstory
Disabling: Very Forgetful,"Often forgets plans, directions, people, items,  names...",Indefinite,Backstory
Disabling: Overconfidence,"Extremely overconfident in , cannot invest in.",Indefinite,Backstory
Disabling: Athletics Overconfidence,"Extremely overconfident in Athletics, cannot invest in.",Indefinite,Backstory
Disabling: Endurance Overconfidence,"Extremely overconfident in Endurance, cannot invest in.",Indefinite,Backstory
Disabling: Lift Overconfidence,"Extremely overconfident in Lift, cannot invest in.",Indefinite,Backstory
Disabling: Dexterity Overconfidence,"Extremely overconfident in Dexterity, cannot invest in.",Indefinite,Backstory
Disabling: Perception Overconfidence,"Extremely overconfident in Perception, cannot invest in.",Indefinite,Backstory
Disabling: Stealth Overconfidence,"Extremely overconfident in Stealth, cannot invest in.",Indefinite,Backstory
Disabling: Logic Overconfidence,"Extremely overconfident in Logic, cannot invest in.",Indefinite,Backstory
Disabling: Knowledge Overconfidence,"Extremely overconfident in Knowledge, cannot invest in.",Indefinite,Backstory
Disabling: Will Overconfidence,"Extremely overconfident in Will, cannot invest in.",Indefinite,Backstory
Disabling: Deception Overconfidence,"Extremely overconfident in Deception, cannot invest in.",Indefinite,Backstory
Disabling: Intimidation Overconfidence,"Extremely overconfident in Intimidation, cannot invest in.",Indefinite,Backstory
Disabling: Persuasion Overconfidence,"Extremely overconfident in Persuasion, cannot invest in.",Indefinite,Backstory
Disabling: Incapable of Lying,"(Specific parameters required, see Cogent website for examples)",Indefinite,Backstory
Disabling: Addiction,"Extreme addiction, suffers from withdrawals if not satisfied.",Indefinite,Backstory
Disabling: Delusion,"Belief of something to be real beyond the scope of simple faith. ",Indefinite,Backstory
Disabling: Imperceptive,Disadvantage to environmental Perception rolls.,Indefinite,Backstory
Disabling: Blind,Unable to make sight based perception checks.,Indefinite,Backstory
Disabling: Deaf,Unable to make hearing based perception checks.,Indefinite,Backstory
Disabling: Anosmia,Unable to make smell based perception checks.,Indefinite,Backstory
Disabling: Ageusia,Unable to make taste based perception checks.,Indefinite,Backstory
Disabling: Anaphia,Unable to make touch based perception checks.,Indefinite,Backstory
Disabling: Gullible," Disadvantage versus Deception rolls.",Indefinite,Backstory
Disabling: Impressionable," Disadvantage versus Persuasion rolls.",Indefinite,Backstory
Disabling: People Pleaser,"Always try to make other people happy, even at their own expense.",Indefinite,Backstory
Disabling: SKILL Overconfidence,"Extremely overconfident in SKILL, cannot invest in.",Indefinite,Backstory
Disabling: Illiterate,Can't read or write.,Indefinite,Backstory
Disabling: Overly Nostalgic,Constantly reminiscing about the good old day.,Indefinite,Backstory
Disabling: Nerve Damage,Character has suffered severe damage theirs nerves. The Perception Skill is locked at level -1.,Indefinite,Backstory
,,,
,,,
Gradual Healing,"Minor injuries heal in 1 day, others are downgraded in following days if maintained.",Indefinite,Treatment
Minor Healing Factor,Minor injuries heal in a short rest. Medium injuries heal durning a long rest. A stabilized Serious injuries heal over a 24 hour rest. Cannot effect higher tier injuries.,24 hours,Treatment
Continuous Minor Healing Factor,Minor injuries heal in a short rest. Medium injuries heal durning a long rest. A stabilized Serious injuries heal over a 24 hour rest. Cannot effect higher tier injuries.,Indefinite,Treatment
Minor Heal,"Removes a minor injury. For a higher tier injury, reduce the dice penalty of the injury by 1. Injury remains at its current tier. Further minor heals have no effect. ",Instantaneous,Treatment
Medium Heal,"Removes a medium or lesser injury. For a higher tier injury, reduce the dice penalty of the injury by 2. Injury remains at its current tier. Further medium healing has no effect. ",Instantaneous,Treatment
Serious Heal,"Removes a serious or lesser injury. For a higher tier injury, reduce the dice penalty of the injury by 3. Injury remains at its current tier. Further serious healing has no effect. ",Instantaneous,Treatment
Fatal Heal,Removes a Fatal or lesser injury. Can be used to reattach limbs as long as the limb is not destroyed.,Instantaneous,Treatment
Revival Heal,"Return a dead character to life with a serious injury. Can only be performed within minutes of death. For living characters, it completely heals all injuries, regrowing body parts, and returning the body to peak performance.",Instantaneous,Treatment
,,,
,,,
Language: Babelish,Can speak and write Babelish.,Indefinite,Culture
Language: Bright-speak,Can speak and write Bright-speak.,Indefinite,Culture
Language: Pirish,Can speak and write Pirish.,Indefinite,Culture
Language: Deep-speak,Can speak and write Deep-speak.,Indefinite,Culture
Language: Primal,Can speak and write Primal.,Indefinite,Culture
Language: Kikishi,Can speak and write Kikishi.,Indefinite,Culture
Language: Draconic,Can speak and write Draconic.,Indefinite,Culture
Language: Demonic,Can speak and write Demonic.,Indefinite,Culture
,,,
,,,
Resistance: Minor Slash,-1 to victory levels received from Slash.,Indefinite,Innate
Resistance: Medium Slash,-2 to victory levels received from Slash.,Indefinite,Innate
Resistance: Serious Slash,-3 to victory levels received from Slash.,Indefinite,Innate
Resistance: Fatal Slash,-4 to victory levels received from Slash.,Indefinite,Innate
Resistance: Complete Slash,Negate all victory levels received from Slash.,Indefinite,Innate
,,,
Resistance: Minor Pierce,-1 to victory levels received from Pierce.,Indefinite,Innate
Resistance: Medium Pierce,-2 to victory levels received from Pierce.,Indefinite,Innate
Resistance: Serious Pierce,-3 to victory levels received from Pierce.,Indefinite,Innate
Resistance: Fatal Pierce,-4 to victory levels received from Pierce.,Indefinite,Innate
Resistance: Complete Pierce,Negate all victory levels received from Pierce.,Indefinite,Innate
,,,
Resistance: Minor Bludgeon,-1 to victory levels received from Bludgeon.,Indefinite,Innate
Resistance: Medium Bludgeon,-2 to victory levels received from Bludgeon.,Indefinite,Innate
Resistance: Serious Bludgeon,-3 to victory levels received from Bludgeon.,Indefinite,Innate
Resistance: Fatal Bludgeon,-4 to victory levels received from Bludgeon.,Indefinite,Innate
Resistance: Complete Bludgeon,Negate all victory levels received from Bludgeon.,Indefinite,Innate
,,,
Resistance: Minor Hew,-1 to victory levels received from Hew.,Indefinite,Innate
Resistance: Medium Hew,-2 to victory levels received from Hew.,Indefinite,Innate
Resistance: Serious Hew,-3 to victory levels received from Hew.,Indefinite,Innate
Resistance: Fatal Hew,-4 to victory levels received from Hew.,Indefinite,Innate
Resistance: Complete Hew,Negate all victory levels received from Hew.,Indefinite,Innate
,,,
Resistance: Minor Ballistic,-1 to victory levels received from Ballistic.,Indefinite,Innate
Resistance: Medium Ballistic,-2 to victory levels received from Ballistic.,Indefinite,Innate
Resistance: Serious Ballistic,-3 to victory levels received from Ballistic.,Indefinite,Innate
Resistance: Fatal Ballistic,-4 to victory levels received from Ballistic.,Indefinite,Innate
Resistance: Complete Ballistic,Negate all victory levels received from Ballistic.,Indefinite,Innate
,,,
Resistance: Minor Shockwave,-1 to victory levels received from Shockwave.,Indefinite,Innate
Resistance: Medium Shockwave,-2 to victory levels received from Shockwave.,Indefinite,Innate
Resistance: Serious Shockwave,-3 to victory levels received from Shockwave.,Indefinite,Innate
Resistance: Fatal Shockwave,-4 to victory levels received from Shockwave.,Indefinite,Innate
Resistance: Complete Shockwave,Negate all victory levels received from Shockwave.,Indefinite,Innate
,,,
Resistance: Minor Fire,-1 to victory levels received from Fire.,Indefinite,Innate
Resistance: Medium Fire,-2 to victory levels received from Fire.,Indefinite,Innate
Resistance: Serious Fire,-3 to victory levels received from Fire.,Indefinite,Innate
Resistance: Fatal Fire,-4 to victory levels received from Fire.,Indefinite,Innate
Resistance: Complete Fire,Negate all victory levels received from Fire.,Indefinite,Innate
,,,
Resistance: Minor Electric,-1 to victory levels received from Electric.,Indefinite,Innate
Resistance: Medium Electric,-2 to victory levels received from Electric.,Indefinite,Innate
Resistance: Serious Electric,-3 to victory levels received from Electric.,Indefinite,Innate
Resistance: Fatal Electric,-4 to victory levels received from Electric.,Indefinite,Innate
Resistance: Complete Electric,Negate all victory levels received from Electric.,Indefinite,Innate
,,,
Resistance: Minor Radiant,-1 to victory levels received from Radiant.,Indefinite,Innate
Resistance: Medium Radiant,-2 to victory levels received from Radiant.,Indefinite,Innate
Resistance: Serious Radiant,-3 to victory levels received from Radiant.,Indefinite,Innate
Resistance: Fatal Radiant,-4 to victory levels received from Radiant.,Indefinite,Innate
Resistance: Complete Radiant,Negate all victory levels received from Radiant.,Indefinite,Innate
,,,
Resistance: Minor Acid,-1 to victory levels received from Acid.,Indefinite,Innate
Resistance: Medium Acid,-2 to victory levels received from Acid.,Indefinite,Innate
Resistance: Serious Acid,-3 to victory levels received from Acid.,Indefinite,Innate
Resistance: Fatal Acid,-4 to victory levels received from Acid.,Indefinite,Innate
Resistance: Complete Acid,Negate all victory levels received from Acid.,Indefinite,Innate
,,,
Resistance: Minor Cold,-1 to victory levels received from Cold.,Indefinite,Innate
Resistance: Medium Cold,-2 to victory levels received from Cold.,Indefinite,Innate
Resistance: Serious Cold,-3 to victory levels received from Cold.,Indefinite,Innate
Resistance: Fatal Cold,-4 to victory levels received from Cold.,Indefinite,Innate
Resistance: Complete Cold,Negate all victory levels received from Cold.,Indefinite,Innate
,,,
Resistance: Minor Silver,-1 to victory levels received from Silver.,Indefinite,Innate
Resistance: Medium Silver,-2 to victory levels received from Silver.,Indefinite,Innate
Resistance: Serious Silver,-3 to victory levels received from Silver.,Indefinite,Innate
Resistance: Fatal Silver,-4 to victory levels received from Silver.,Indefinite,Innate
Resistance: Complete Silver,Negate all victory levels received from Silver.,Indefinite,Innate
,,,
Resistance: Minor Poison,-1 to victory levels received from Poison.,Indefinite,Innate
Resistance: Medium Poison,-2 to victory levels received from Poison.,Indefinite,Innate
Resistance: Serious Poison,-3 to victory levels received from Poison.,Indefinite,Innate
Resistance: Fatal Poison,-4 to victory levels received from Poison.,Indefinite,Innate
Resistance: Complete Poison,Negate all victory levels received from Poison.,Indefinite,Innate
,,,
Resistance: Minor Necrotic,-1 to victory levels received from Necrotic.,Indefinite,Innate
Resistance: Medium Necrotic,-2 to victory levels received from Necrotic.,Indefinite,Innate
Resistance: Serious Necrotic,-3 to victory levels received from Necrotic.,Indefinite,Innate
Resistance: Fatal Necrotic,-4 to victory levels received from Necrotic.,Indefinite,Innate
Resistance: Complete Necrotic,Negate all victory levels received from Necrotic.,Indefinite,Innate
,,,
Resistance: Minor Bleed,-1 to victory levels received from Bleed.,Indefinite,Innate
Resistance: Medium Bleed,-2 to victory levels received from Bleed.,Indefinite,Innate
Resistance: Serious Bleed,-3 to victory levels received from Bleed.,Indefinite,Innate
Resistance: Fatal Bleed,-4 to victory levels received from Bleed.,Indefinite,Innate
Resistance: Complete Bleed,Negate all victory levels received from Bleed.,Indefinite,Innate
,,,
Resistance: Minor Fatigue,-1 to victory levels received from Fatigue.,Indefinite,Innate
Resistance: Medium Fatigue,-2 to victory levels received from Fatigue.,Indefinite,Innate
Resistance: Serious Fatigue,-3 to victory levels received from Fatigue.,Indefinite,Innate
Resistance: Fatal Fatigue,-4 to victory levels received from Fatigue.,Indefinite,Innate
Resistance: Complete Fatigue,Negate all victory levels received from Fatigue.,Indefinite,Innate
,,,
Resistance: Minor Psychic,-1 to victory levels received from Psychic.,Indefinite,Innate
Resistance: Medium Psychic,-2 to victory levels received from Psychic.,Indefinite,Innate
Resistance: Serious Psychic,-3 to victory levels received from Psychic.,Indefinite,Innate
Resistance: Fatal Psychic,-4 to victory levels received from Psychic.,Indefinite,Innate
Resistance: Complete Psychic,Negate all victory levels received from Psychic.,Indefinite,Innate
,,,
Resistance: Minor Spiritual,-1 to victory levels received from Spiritual.,Indefinite,Innate
Resistance: Medium Spiritual,-2 to victory levels received from Spiritual.,Indefinite,Innate
Resistance: Serious Spiritual,-3 to victory levels received from Spiritual.,Indefinite,Innate
Resistance: Fatal Spiritual,-4 to victory levels received from Spiritual.,Indefinite,Innate
Resistance: Complete Spiritual,Negate all victory levels received from Spiritual.,Indefinite,Innate
,,,
,,,
Sense: Keen Hearing,Advantage on hearing based Perception checks.,Indefinite,Innate
Sense: Keen Smell,Advantage on smell based Perception checks.,Indefinite,Innate
Sense: Keen Sight,Advantage on sight based Perception checks.,Indefinite,Innate
,,,
Sense: Darkvision,"A special ability that many creatures in fantasy realms, particularly those that live underground, possess. This ability allows a creature to see in dim light as if it were bright light, and see in darkness as if it were dim light up to a certain distance. However, the trade-off is that they can't distinguish colors in the dark, only different shades of gray. Within 60 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",Indefinite,Innate
Sense: Enhanced Darkvision,"A special ability that many creatures in fantasy realms, particularly those that live underground, possess. This ability allows a creature to see in dim light as if it were bright light, and see in darkness as if it were dim light up to a certain distance. However, the trade-off is that they can't distinguish colors in the dark, only different shades of gray. Within 120 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",Indefinite,Innate
Sense: Blindsight,"Blindsight allows a creature to perceive its environment without the need for sight, within a certain range. It's typically found in creatures that lack eyes, such as oozes, or in those that have heightened senses or use echolocation, like bats and true dragons. These creatures can sense their surroundings regardless of visual obstructions or conditions. Within 30 ft, the environment can be perceived without the need for sight.",Indefinite,Innate
Sense: Truesight,"A being possessing truesight can, within a designated range, perceive both in regular and magical darkness, observe invisible entities and objects, effortlessly discern visual illusions, succeed on skill checks against them, and discern the true form of a shapechanger or a creature altered by magic. Additionally, this creature has the ability to see into the Ethereal Plane.",Indefinite,Innate
,,,
Sense: Unobscured,"The area around the character doesn't impede their vision. Roll normal Perception checks that rely on sight. Examples include bright light, torch/lantern/campfire light, gloomy days, etc...",Situational,Environmental
Sense: Lightly Obscured,"The area around the character slightly impedes their vision. Roll at Disadvantage on Perception checks that rely on sight. Examples include dim light, the boundary between a source of light and the surrounding darkness, the soft light of twilight/dawn, a full moon, patchy fog/foliage, ect...",Situational,Environmental
Sense: Heavily Obscured,"The area around the character heavily impedes their vision. Roll at Super Disadvantage on Perception checks that relay on sight. Examples include deep shadow, waxing/waning crescent moon, moderate fog/foliage, ect...",Situational,Environmental
Sense: Completely Obscured,"The area around the character completely impedes their vision. Character is considered Blinded (see the Condition). Examples include complete darkness, a new moon, an unlit dungeon, opaque fog/foliage, ect...",Situational,Environmental
,,,
,,,
Size: Tiny,2.5x2.5 ft on battle map.,Indefinite,Innate
Size: Small,5x5 ft on battle map.,Indefinite,Innate
Size: Medium,5x5 ft on battle map.,Indefinite,Innate
Size: Large,10x10 ft on battle map.,Indefinite,Innate
Size: Huge,15x15 ft on battle map.,Indefinite,Innate
Size: Gargantuan,20x20 ft on battle map.,Indefinite,Innate
,,,
,,,
Victory Level 1: Inflict Minor Injury,"Inflict a Minor Injury causing -1d to STR/RFX/INT/CHA governed Dice Pools. The injury will naturally heal over the next few days, or faster if treated actively.",Instant,1 Victory Level win
Victory Level 1: Stagger,"The opponent gains the Staggered condition until the end of the next round. This could be sand thrown in a character's face, being shoulder-checked, or losing their footing.",Instant,1 Victory Level win
Victory Level 1: Shove,"The opponent is shoved in the desired direction. The character performing the shove can either roll a Lift check or take the average amount of Wins rounded down. If the character is using magic, they may use a Magic Skill instead of Lift, assuming the magic could shove someone. For each win achieved, the character can shove another character 5 feet in a straight line. For each size category the opponent is smaller than you, double the distance. For each size category, the opponent is larger than you, half the distance. The Narrator can change the shove distance based on unusual circumstances (i.e. humanoid-sized creature weighs as much as a Large sized creature as it is made of pure metal/stone).",Instant,1 Victory Level win
Victory Level 1: Contested Grapple,Enter a contested grapple. Apply the Grappled condition to the opponent. The opponent may choose to apply the Grappled condition back.,Instant,1 Victory Level win
Victory Level 1: Break Grapple,Removes the Grappled condition applied by an opponent.,Instant,1 Victory Level win
Victory Level 1: Drag,"The opponent, which first must be Grappled, is dragged in a desired direction. The character performing the drag can either roll a Lift check or take the average amount of wins rounded down. If the character is using magic, they may use a Magic Skill instead of Lift, assuming the magic could drag someone. For each win achieved, a character can drag another character 10 feet. For each size category the opponent is smaller than you, double the distance. For each Size the opponent is larger than you, half the distance. If the character is required to move during the drag, they may not exceed their Movement Speed for that round. The Narrator can change the drag distance based on unusual circumstances (i.e. humanoid-sized creature weighs as much as a Large sized creature as it is made of pure metal/stone).",Instant,1 Victory Level win
,,,
Victory Level 2: Inflict Medium Injury,Inflict a Medium Injury causing -2d to STR/RFX/INT/CHA governed Dice Pools. The injury must be treated relatively soon otherwise further penalties may apply such as infection.,Instant,2 Victory Level wins
Victory Level 2: Disarm,The opponent loses one of their held items.,Instant,2 Victory Level wins
Victory Level2:  Grapple,Apply the Grappled condition to the opponent.,Instant,2 Victory Level wins
,,,
Victory Level 3: Inflict Serious Injury,Inflict a Serious Injury causing -3d to STR/RFX/INT/CHA governed Dice Pools.  The injury will lead to death in time if untreated.,Instant,3 Victory Level wins
Victory Level 3: Double Disarm,The opponent loses two of their held items.,Instant,3 Victory Level wins
Victory Level 3: Trip,The opponent gains the Prone condition. The tripped opponent can declare they are attempting to regain their footing on a round they start Prone. Regaining their footing requires the downed opponent to use their entire movement speed for that round. At the end of the round they were regaining their footing they can remove the Prone condition.,Instant,3 Victory Level wins
,,,
Victory Level 4: Inflict Fatal Injury,Inflict a Fatal Injury causing -4d to STR/RFX/INT/CHA governed Dice Pools. The injury will lead to death very soon if untreated. The character inflicted with this injury is Physically Incapacitated (see the Narrative Effect).,Instant,4 Victory Level wins
Victory Level 4: Dismember,"The opponent loses an arm or leg, which counts as a Serious Injury. Not available to ranged combat rolls unless there is a narrative explanation of how a ranged attack could dismember (magic, explosive projectiles, etc...).",Instant,4 Victory Level wins
Victory Level 4: Render Unconscious,"The opponent gains the Unconscious condition, which counts as a Medium Injury that persists even after they regain consciousness. This could be from head trauma, blood chokes, etc...",Instant,4 Victory Level wins
,,,
Victory Level 5: Inflict Death Blow,Inflict a Death Blow Injury causing -5d to STR/RFX/INT/CHA governed Dice Pools. The injury causes death.,Instant,5 Victory Level wins
,,,
,,,
Weakness: Minor Slash,+1 to the level of injury received from Slash.,Indefinite,Innate
Weakness: Medium Slash,+2 to the level of injury received from Slash.,Indefinite,Innate
Weakness: Serious Slash,+3 to the level of injury received from Slash.,Indefinite,Innate
Weakness: Fatal Slash,+4 to the level of injury received from Slash.,Indefinite,Innate
,,,
Weakness: Minor Pierce,+1 to the level of injury received from Pierce.,Indefinite,Innate
Weakness: Medium Pierce,+2 to the level of injury received from Pierce.,Indefinite,Innate
Weakness: Serious Pierce,+3 to the level of injury received from Pierce.,Indefinite,Innate
Weakness: Fatal Pierce,+4 to the level of injury received from Pierce.,Indefinite,Innate
,,,
Weakness: Minor Bludgeon,+1 to the level of injury received from Bludgeon.,Indefinite,Innate
Weakness: Medium Bludgeon,+2 to the level of injury received from Bludgeon.,Indefinite,Innate
Weakness: Serious Bludgeon,+3 to the level of injury received from Bludgeon.,Indefinite,Innate
Weakness: Fatal Bludgeon,+4 to the level of injury received from Bludgeon.,Indefinite,Innate
,,,
Weakness: Minor Hew,+1 to the level of injury received from Hew.,Indefinite,Innate
Weakness: Medium Hew,+2 to the level of injury received from Hew.,Indefinite,Innate
Weakness: Serious Hew,+3 to the level of injury received from Hew.,Indefinite,Innate
Weakness: Fatal Hew,+4 to the level of injury received from Hew.,Indefinite,Innate
,,,
Weakness: Minor Ballistic,+1 to the level of injury received from Ballistic.,Indefinite,Innate
Weakness: Medium Ballistic,+2 to the level of injury received from Ballistic.,Indefinite,Innate
Weakness: Serious Ballistic,+3 to the level of injury received from Ballistic.,Indefinite,Innate
Weakness: Fatal Ballistic,+4 to the level of injury received from Ballistic.,Indefinite,Innate
,,,
Weakness: Minor Shockwave,+1 to the level of injury received from Shockwave.,Indefinite,Innate
Weakness: Medium Shockwave,+2 to the level of injury received from Shockwave.,Indefinite,Innate
Weakness: Serious Shockwave,+3 to the level of injury received from Shockwave.,Indefinite,Innate
Weakness: Fatal Shockwave,+4 to the level of injury received from Shockwave.,Indefinite,Innate
,,,
Weakness: Minor Fire,+1 to the level of injury received from Fire.,Indefinite,Innate
Weakness: Medium Fire,+2 to the level of injury received from Fire.,Indefinite,Innate
