combatRollType,baseDiceTierAdjustment,handedVariation,dicePoolModifier,penetration,range,usesPerRound,areaOfEffect,optionalResourceTypeAndAmount,damageTypes,governingSkillName,description,duration,source
Magic Penetrating Great Arrow,+0,Two-handed,+2d6,3,Sharpshooter,Quick,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Hand Discharge,+0,One-handed,+2d6,0,Mediocre,Extremely Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
Magic Hand Discharge,+0,Dual-wielded,+3d6,0,Mediocre,Extremely Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Discharge,+0,One-handed,+0d6,0,Long,Extremely Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
Magic Discharge,+0,Two-handed,+2d6,0,Long,Extremely Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Great Discharge,+0,One-handed,+0d6,1,Sharpshooter,Painfully Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
Magic Great Discharge,+0,Two-handed,+3d6,1,Sharpshooter,Painfully Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Blast,+0,One-handed,+2d6,2,Extended,Swift +2,None,"Generic, 4",,,Can be used as a Combat Roll.,Indefinite,Innate
Magic Blast,+0,Dual-wielded,+3d6,2,Extended,Swift +2,None,"Generic, 4",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Burst Blast,+0,One-handed,+3d6,2,Mediocre,Swift +2,None,"Generic, 4",,,Can be used as a Combat Roll.,Indefinite,Innate
Magic Burst Blast,+0,Dual-wielded,+4d6,2,Mediocre,Swift +2,None,"Generic, 4",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Rapid Blast,+0,One-handed,+3d6,2,Short,Rapid,None,"Generic, 4",,,Can be used as a Combat Roll.,Indefinite,Innate
Magic Rapid Blast,+0,Dual-wielded,+4d6,2,Short,Rapid,None,"Generic, 4",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
5.56 Semi-automatic Rifle,+0,One-handed,+1d6,3,Extreme,Swift +2,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
5.56 Semi-automatic Rifle,+0,Two-handed,+3d6,3,Extreme,Swift +2,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
5.56 Burst Rifle,+0,One-handed,+2d6,3,Sharpshooter,Swift +2,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
5.56 Burst Rifle,+0,Two-handed,+4d6,3,Sharpshooter,Swift +2,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
5.56 Automatic Rifle,+0,One-handed,+2d6,3,Distant,Rapid,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
5.56 Automatic Rifle,+0,Two-handed,+4d6,3,Distant,Rapid,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
.308 Bolt Action Rifle,+0,One-handed,+1d6,4,Sniper,Quick,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
.308 Bolt Action Rifle,+0,Two-handed,+4d6,4,Sniper,Quick,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
5.56 Machine Gun,+0,One-handed,-2,3,Extreme,Rapid,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
5.56 Machine Gun,+0,Two-handed,+4d6,3,Extreme,Rapid,None,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
RPG Launcher,+0,One-handed,-2,6,Sharpshooter,Paced,30 ft Sphere,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
RPG Launcher,+0,Two-handed,+6d6,6,Sharpshooter,Paced,30 ft Sphere,"Generic, 5",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Glove,+0,One-handed,-1,0,Melee,Swift,None,"Generic, 0",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Small Melee,+0,One-handed,+0d6,0,Melee,Swift,None,"Generic, 0",,,Can be used as a Combat Roll.,Indefinite,Innate
Small Melee,+0,Dual-wielded,+1d6,0,Melee,Swift,None,"Generic, 0",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Medium Melee,+0,One-handed,+1d6,1,Melee,Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
Medium Melee,+0,Two-handed,+2d6,1,Melee,Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
Medium Melee,+0,Dual-wielded,+2d6,1,Melee,Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Medium Spear,+0,One-handed,+2d6,1,Melee,Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
Medium Spear,+0,Dual-wielded,+3d6,1,Melee,Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Whip,+0,One-handed,+0d6,0,Reach,Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
Whip,+0,Dual-wielded,+1d6,0,Reach,Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Large Melee Magic,+0,One-handed,+0d6,1,Melee,Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
Large Melee Magic,+0,Two-handed,+2d6,2,Melee,Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Large Spear Magic,+0,One-handed,+0d6,1,Melee,Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
Large Spear Magic,+0,Two-handed,+2d6,2,Melee,Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Reach Melee Magic,+0,One-handed,-2,1,Reach,Swift +2,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
Reach Melee Magic,+0,Two-handed,+3d6,3,Reach,Swift +2,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Reach Spear,+0,One-handed,-2,1,Reach,Steady,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
Reach Spear,+0,Two-handed,+3d6,3,Reach,Steady,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
