name,quantity,effects,weight,value,description
Mechanical Heart,1,"Phenomena Detection, Forbidden Whispers",1,?,"""With this Heart, I will hear many secrets…"" - Unknown

Said to have been designed by the lord of Tuntin, who subsequently died in the fire that burned his estate to the ground. A vessel designed to contain a soul, it is used to help uncover runecrafts and other supernatural events throughout Terra."
Smithing Stone Fragment,1,,0.1,10 bc,
Smithing Stone Shard,1,,0.2,50 bc,
Large Smithing Stone Shard,1,,1,100 bc,
Smithing Stone Chunk,1,,5,250 bc,
Smithing Stone Slab,1,,40,?,
Ogre's Spiked Club,1,"Reach Bludgeon Melee (One-handed) (+0), Reach Bludgeon Melee (Two-handed) (+0), Reach Hafted Point",14,41 cc,
Leather Cuisses and Greaves of Speed,1,"Leg Armor, Phy. Def. 0.5, Minorly Enhanced Athletics",3,2 bc,
Tin Coins,1,,0.02,1 tc,
Copper Coin,1,,0.02," 1 cc",
Bronze Coin,1,,0.02," 1 bc",
Gold Coin,1,,0.02," 1 gc",
Platinum Coin,1,,0.02," 1 pc",
,,,,,
Dagger,1,"(One-handed) Small Pierce Melee (+0), (Dual-wielded) Small Pierce Melee (+0), (One-handed) Small Slash Melee (+0), (Dual-wielded) Small Slash Melee (+0), Thrown (One-handed) Small Pierce Melee (+0), Thrown (Dual-wielded) Small Pierce Melee (+0), Resource Pool: Thrown Small Pierce Melee (+0)",1,2 bc,
Shortsword,1,"(One-handed) Small Pierce Melee (+1), (Dual-wielded) Small Pierce Melee (+1), (One-handed) Small Slash Melee (+1), (Dual-wielded) Small Slash Melee (+1)",1.5,5 bc,
Arming Sword,1,"Medium Pierce Melee (One-handed) (+0), Medium Pierce Melee (Dual-wielded) (+0), Medium Slash Melee (One-handed) (+0), Medium Slash Melee (Dual-wielded) (+0)",2,10 bc,
Bastard Sword,1,"Medium Pierce Melee (One-handed) (+0), Medium Pierce Melee (Two-handed) (+0), Medium Pierce Melee (Dual-wielded) (+0), Medium Slash Melee (One-handed) (+0), Medium Slash Melee (Two-handed) (+0), Medium Slash Melee (Dual-wielded) (+0)",2.5,15 bc,
Longsword,1,"Large Pierce Melee (One-handed) (+0), Large Pierce Melee (Two-handed) (+0), Large Slash Melee (One-handed) (+0), Large Slash Melee (Two-handed) (+0)",3,25 bc,
Greatsword,1,"Reach Pierce Melee (One-handed) (+0), Reach Pierce Melee (Two-handed) (+0), Reach Slash Melee (One-handed) (+0), Reach Slash Melee (Two-handed) (+0)",6,50 bc,
,,,,,
Handaxe,1,"(One-handed) Small Hew Melee (+0), (Dual-wielded) Small Hew Melee (+0), Thrown (One-handed) Small Hew Melee (+0), Thrown (Dual-wielded) Small Hew Melee (+0), Resource Pool: Thrown Small Hew Melee (+0)",2,5 bc,
Shoddy Sickle,1,"Small Slash Melee (-1) (One-handed), (Dual-wielded) Small Slash Melee (-1), Thrown Small Slash Melee (-1) (One-handed), Thrown (Dual-wielded) Small Slash Melee (-1)",2,50 cc,
Sickle,1,"Small Hafted Blade, Thrown Small Hafted Blade",2,1 bc,
Light Hammer,1,"(One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0), Thrown (One-handed) Small Bludgeon Melee (+0), Thrown (Dual-wielded) Small Bludgeon Melee (+0), Resource Pool: Thrown Small Bludgeon Melee (+0)",2,2 bc,
Rapier,1,"Medium Pierce Melee (One-handed) (+2), Medium Pierce Melee (Dual-wielded) (+2), Medium Slash Melee (One-handed) (+0), Medium Slash Melee (Dual-wielded) (+0)",2,25 bc,
Scimitar,1,"Medium Pierce Melee (One-handed) (+0), Medium Pierce Melee (Dual-wielded) (+0), Medium Slash Melee (One-handed) (+2), Medium Slash Melee (Dual-wielded) (+2)",2,25 bc,
Shoddy Scimitar,1,"Medium Pierce Melee (-1) (One-handed), Medium Pierce Melee (Dual-wielded) (-1), Medium Slash Melee (One-handed) (+1), Medium Slash Melee (Dual-wielded) (+1)",2,5 bc,
Battleaxe,1,"Medium Hew Melee (One-handed) (+0), Medium Hew Melee (Two-handed) (+0), Medium Hew Melee (Dual-wielded) (+0)",3,10 bc,
Flail,1,"Medium Bludgeon Melee (One-handed) (+0), Medium Bludgeon Melee (Two-handed) (+0), Medium Bludgeon Melee (Dual-wielded) (+0)",3,10 bc,
Morning Star,1,"Medium Bludgeon Melee (One-handed) (+0), Medium Bludgeon Melee (Two-handed) (+0), Medium Bludgeon Melee (Dual-wielded) (+0), Medium Pierce Melee (One-handed) (+0), Medium Pierce Melee (Two-handed) (+0), Medium Pierce Melee (Dual-wielded) (+0)",4,15 bc,
Mace,1,"Medium Bludgeon Melee (One-handed) (+0), Medium Bludgeon Melee (Two-handed) (+0), Medium Bludgeon Melee (Dual-wielded) (+0)",3,5 bc,
Warhammer/pick,1,"Medium Bludgeon Melee (One-handed) (+0), Medium Bludgeon Melee (Two-handed) (+0), Medium Bludgeon Melee (Dual-wielded) (+0), Medium Pierce Melee (One-handed) (+0), Medium Pierce Melee (Two-handed) (+0), Medium Pierce Melee (Dual-wielded) (+0)",2,15 bc,
Glaive,1,"Large Slash Melee (One-handed) (+0), Large Slash Melee (Two-handed) (+0)",6,20 bc,
Dane Axe,1,"Large Hew Melee (One-handed) (+0), Large Hew Melee (Two-handed) (+0)",4,11 bc,
Maul,1,"Large Bludgeon Melee (One-handed) (+0), Large Bludgeon Melee (Two-handed) (+0)",7,10 bc,
Spear,1,"Large Spear (One-handed) (+0), Large Spear (Two-handed) (+0), Thrown Large Spear (One-handed) (+0), Resource Pool: Thrown Large Spear (+0)",3,1 bc,
Trident,1,"Large Spear (One-handed) (+1), Large Spear (Two-handed) (+1), Thrown Large Spear (One-handed) (+1), Resource Pool: Thrown Large Spear (+1)",3,5 bc,
Poleaxe,1,"Large Bludgeon Melee (One-handed) (+0), Large Bludgeon Melee (Two-handed) (+0), Large Hew Melee (One-handed) (+0), Large Hew Melee (Two-handed) (+0), Large Spear (One-handed) (+0), Large Spear (Two-handed) (+0)",6,40 bc,
Wooden Javelin,1,"Medium Spear (-1) (One-handed), Medium Spear (Dual-wielded) (-1), Thrown Medium Spear (-1) (One-handed), Resource Pool: Thrown Medium Spear (-1)",2,25 cc,
Javelin,1,"Medium Spear (One-handed) (+0), Medium Spear (Dual-wielded) (+0), Thrown Medium Spear (One-handed) (+0), Resource Pool: Thrown Medium Spear (+0)",2,50 cc,
Swordstaff,1,"Reach Slash Melee (One-handed) (+0), Reach Slash Melee (Two-handed) (+0), Reach Spear (One-handed) (+0), Reach Spear (Two-handed) (+0)",6,50 bc,
Halberd,1,"Reach Slash Melee (One-handed) (+0), Reach Slash Melee (Two-handed) (+0), Reach Hafted Point, Reach Spear (One-handed) (+0), Reach Spear (Two-handed) (+0)",7,20 bc,
Long Poleaxe,1,"Reach Bludgeon Melee (One-handed) (+0), Reach Bludgeon Melee (Two-handed) (+0), Reach Hew Melee (One-handed) (+0), Reach Hew Melee (Two-handed) (+0), Reach Spear (One-handed) (+0), Reach Spear (Two-handed) (+0)",7,41 bc,
Lance,1,"Reach Spear (One-handed) (+0), Reach Spear (Two-handed) (+0)",11,10 bc,
Pike,1,"Reach Spear (One-handed) (+0), Reach Spear (Two-handed) (+0)",5,5 bc,
Swordbreaker,1,"(One-handed) Small Slash Melee (+0), (Dual-wielded) Small Slash Melee (+0), Resource Pool: Thrown Small Slash Melee (+0), Swordbreaker Blade Catch",1,25 bc,
Crowbar,1,"(One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0), Thrown (One-handed) Small Bludgeon Melee (+0), Thrown (Dual-wielded) Small Bludgeon Melee (+0), Resource Pool: Thrown Small Bludgeon Melee (+0)",5,2 bc,
Hammer,1,"(One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0), Thrown (One-handed) Small Bludgeon Melee (+0), Thrown (Dual-wielded) Small Bludgeon Melee (+0), Resource Pool: Thrown Small Bludgeon Melee (+0)",3,1 bc,
"Hammer, Sledge",1,"Large Bludgeon Melee (One-handed) (+0), Large Bludgeon Melee (Two-handed) (+0)",10,2 bc,
"Pick, Miner's",1,"Large Pierce Melee (One-handed) (+0), Large Pierce Melee (Two-handed) (+0)",10,2 bc,
Light Crossbow,1,"Light Crossbow (One-handed) (+0), Light Crossbow (Two-handed) (+0)",5,25 bc,
Light Longbow,1,Light Bow (Two-handed) (+0),2,25 bc,
Shoddy Light Longbow,1,Light Bow (Two-handed) (-1),2,15 bc,
Hand Crossbow,1,"Hand Crossbow (One-handed) (+0), Hand Crossbow (Two-handed) (+0), Hand Crossbow (Dual-wielded) (+0)",3,75 bc,
Heavy Crossbow,1,Heavy Crossbow (Two-handed) (+0),11,50 bc,
Heavy Longbow,1,Heavy Bow (Two-handed) (+0),4,50 bc,
Sling,1,Sling (Two-handed) (+0),0.5,10 cc,
Quarterstaff,1,"Large Bludgeon Melee (One-handed) (+0), Large Bludgeon Melee (Two-handed) (+0)",4,20 cc,
Quarterstaff with Hidden Spear,1,"Large Bludgeon Melee (One-handed) (+0), Large Bludgeon Melee (Two-handed) (+0), Large Spear (One-handed) (+0), Large Spear (Two-handed) (+0), Thrown Large Spear (One-handed) (+0), Resource Pool: Thrown Large Spear (+0)",4,2 bc,
Club,1,"(One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0), Thrown (One-handed) Small Bludgeon Melee (+0), Thrown (Dual-wielded) Small Bludgeon Melee (+0), Resource Pool: Thrown Small Bludgeon Melee (+0)",2,10 cc,
Great Club,1,"Large Bludgeon Melee (One-handed) (+0), Large Bludgeon Melee (Two-handed) (+0)",10,20 cc,
Whip,1,"Whip (One-handed) (+0),  Whip (Dual-wielded) (+0)",3,2 bc,
Plumbata/Dart,1,"Small Pierce Melee (-1) (One-handed), (Dual-wielded) Small Pierce Melee (-1), Thrown (One-handed) Small Pierce Melee (+0), Thrown (Dual-wielded) Small Pierce Melee (+0), Resource Pool: Thrown Small Pierce Melee (+0)",5,5 cc,
Blowgun,1,Blowgun (One-handed) (+0),1,10 bc,
,,,,,
Steelclaw,1,"Large Pierce Melee (One-handed) (+2), Large Pierce Melee (Two-handed) (+2), Large Slash Melee (One-handed) (+2), Large Slash Melee (Two-handed) (+2)",3,25 bc,This sword was cursed upon Vasilii Anatoli after using it to kill his eldest brother. It is a constant reminder of his shame.
Frostbark,1,"Large Hew Melee (One-handed) (+3), Large Hew Melee (Two-handed) (+3), Spellcasting Focus, Cold Enchantment",4,? bc,"A Dane axe imbued with the frost found on the high peaks of the Spine of the World. Its solid oak handle appears grown into the axe head, securing it solidly in place. Latent nature and cold magic is present within the handle."
Draupnir Spear,1,"Medium Spear (One-handed) (+3), Medium Spear (Dual-wielded) (+3), Thrown Medium Spear (One-handed) (+3), Resource Pool: Thrown Medium Spear (+3), Large Spear (One-handed) (+3), Large Spear (Two-handed) (+3), Thrown Large Spear (One-handed) (+3), Resource Pool: Thrown Large Spear (+3), Reach Spear (One-handed) (+3), Reach Spear (Two-handed) (+3), Spellcasting Focus, Draupnir",3,? bc,"Said to have been crafted by Siren smith long ago with the blood of a god...

This spear can be used as a Air Spellcasting Focus."
Asher's Arms Swordbreaker,1,"(One-handed) Small Slash Melee (+2), (Dual-wielded) Small Slash Melee (+2), Small Pierce Melee (-1) (One-handed), (Dual-wielded) Small Pierce Melee (-1), Thrown Small Pierce Melee (-1) (One-handed), Thrown (Dual-wielded) Small Pierce Melee (-1), Resource Pool: Thrown Small Pierce Melee (-1), Swordbreaker Blade Catch",1,?,"A fine swordbreaker purchased from Asher’s Arm, a well regarded establishment in Reddwall known for their grayish blue steel. Swordbreakers were a favorite weapon of Lord Flint Reddington. He commissioned many swordbreakers just like this one for use in dueling.

Swordbreakers, often wielded offhand to a main hand sword. They are designed to catch and bind the opponent's blade, leaving the opponent open for a decisive attack from the main hand weapon."
Talon - Replica,1,"(One-handed) Small Pierce Melee (+1), (Dual-wielded) Small Pierce Melee (+1), (One-handed) Small Slash Melee (+1), (Dual-wielded) Small Slash Melee (+1)",1.5,?,"Quality shortsword taken from the Despereaux armories by Luzca Despereaux. Made to emulate the Talon short sword, a Despereaux family heirloom."
Fang - Replica,1,"(One-handed) Small Pierce Melee (+1), (Dual-wielded) Small Pierce Melee (+1), (One-handed) Small Slash Melee (+1), (Dual-wielded) Small Slash Melee (+1), Thrown (One-handed) Small Pierce Melee (+1), Thrown (Dual-wielded) Small Pierce Melee (+1)",1,?,"Quality karambit knife taken from the Despereaux armories by Luzca Despereaux. Made to emulate the Fang karambit knife, a Despereaux family heirloom."
Sirius’s Sword,1,"Medium Pierce Melee (One-handed) (+2), Medium Pierce Melee (Dual-wielded) (+2), Medium Slash Melee (One-handed) (+2), Medium Slash Melee (Dual-wielded) (+2)",2,?,"Fine arming sword of Sirius Roseblood, first of his name. A fine sword, marked with the emblem of the dwindling House Roseblood on the crossguard.

House Roseblood isn't as wealthy as it once was during the height of the witch queen's reign. As a result, they do not have the coin for the finest craftsmen for children’s swords, owing to the more modest nature of this sword."
Staff of Defense,1,"Large Bludgeon Melee (One-handed) (+3), Large Bludgeon Melee (Two-handed) (+3), Spellcasting Focus, Defense Spells, Physical Defense 1.00",3,?,
Monkey Staff,1,"(One-handed) Small Bludgeon Melee (+3), (Dual-wielded) Small Bludgeon Melee (+3), Thrown (One-handed) Small Bludgeon Melee (+3), Thrown (Dual-wielded) Small Bludgeon Melee (+3), Resource Pool: Thrown Small Bludgeon Melee (+3), Medium Bludgeon Melee (One-handed) (+3), Medium Bludgeon Melee (Two-handed) (+3), Medium Bludgeon Melee (Dual-wielded) (+3), Large Bludgeon Melee (One-handed) (+3), Large Bludgeon Melee (Two-handed) (+3), Reach Bludgeon Melee (One-handed) (+3), Reach Bludgeon Melee (Two-handed) (+3), Extendable Weapon",4,?,"""Monkey see, Monkey do"" - Arinoth the Enlightened

A staff from the Jungles of Leodelphia. This is all that remains of Arinoth the Enlightened's home."
Hew,1,"Medium Hew Melee (One-handed) (+3), Medium Hew Melee (Two-handed) (+3), Medium Hew Melee (Dual-wielded) (+3), Splinter",4,?,"""When you chop wood, splinters fly.""  - Anonymous

An unassuming double bladed, rusty, yet excellently crafted battleaxe both as versatile at chopping wood as chopping skulls.

Runecraft scholars have traced the origin of this axe to the first Fellkin who began harvesting the great iron woods of Reddland. Needing a tool that was both capable of felling the great iron woods and fending back the monstrous Leshens that roamed the forest, this weapon was forged."
Char - Damaged,1,"Reach Pierce Melee (-2) (One-handed), Reach Pierce Melee (Two-handed) (-2), Reach Slash Melee (-2) (One-handed), Reach Slash Melee (Two-handed) (-2), Fire Repair and Enhancement",6,?,"""It has been in the family for a bit, passed down from father to son. It’ll be yours one day junior. Who knows, you might need it someday."" -Destin Shaffer Sr.

An apparently mundane greatsword with a partially shattered tip “acquired” and used by Destin Shaffer. Destin took this sword when he left his mother and father. Taken because it was the least valuable weapon at his parents' blacksmith shop as his guilt prevented him from taking anything nicer. He always wondered why his step-father kept the hunk of junk leaning up against the wall.

Destin used this blade in his time as a mercenary. He had plenty of opportunities to claim more elegant weapons from fallen opponents, though he could never part with the blade.

During Destin's confrontation with the Demon Helena, he sacrificed the damaged blade for one more powerful strike to in a desperate attempt defend the fleeing prisoner’s and his friends. The sword shattered, though somehow managed to hold itself together, surging with red heat visible through the cracks. Recently, Destin has discovered that the weapon seems capable of repairing itself under extreme heat.

Shattered and broken, Destin continues to carry this blade."
Char - Shoddy,1,"Reach Pierce Melee (-1) (One-handed), Reach Pierce Melee (1-) (Two-handed), Reach Slash Melee (-1) (One-handed), Reach Slash Melee (Two-handed) (-1), Fire Repair and Enhancement",6,?,"""It has been in the family for a bit, passed down from father to son. It’ll be yours one day junior. Who knows, you might need it someday."" -Destin Shaffer Sr.

An apparently mundane greatsword with a partially shattered tip “acquired” and used by Destin Shaffer. Destin took this sword when he left his mother and father. Taken because it was the least valuable weapon at his parents' blacksmith shop as his guilt prevented him from taking anything nicer. He always wondered why his step-father kept the hunk of junk leaning up against the wall.

Destin used this blade in his time as a mercenary. He had plenty of opportunities to claim more elegant weapons from fallen opponents, though he could never part with the blade.

During Destin's confrontation with the Demon Helena, he sacrificed the damaged blade for one more powerful strike to in a desperate attempt defend the fleeing prisoner’s and his friends. The sword shattered, though somehow managed to hold itself together, surging with red heat visible through the cracks. Recently, Destin has discovered that the weapon seems capable of repairing itself under extreme heat.

Shattered and broken, Destin continues to carry this blade."
Char,1,"Reach Pierce Melee (One-handed) (+0), Reach Pierce Melee (Two-handed) (+0), Reach Slash Melee (One-handed) (+0), Reach Slash Melee (Two-handed) (+0), Fire Repair and Enhancement",6,?,"""It has been in the family for a bit, passed down from father to son. It’ll be yours one day junior. Who knows, you might need it someday."" -Destin Shaffer Sr.

An apparently mundane greatsword with a partially shattered tip “acquired” and used by Destin Shaffer. Destin took this sword when he left his mother and father. Taken because it was the least valuable weapon at his parents' blacksmith shop as his guilt prevented him from taking anything nicer. He always wondered why his step-father kept the hunk of junk leaning up against the wall.

Destin used this blade in his time as a mercenary. He had plenty of opportunities to claim more elegant weapons from fallen opponents, though he could never part with the blade.

During Destin's confrontation with the Demon Helena, he sacrificed the damaged blade for one more powerful strike to in a desperate attempt defend the fleeing prisoner’s and his friends. The sword shattered, though somehow managed to hold itself together, surging with red heat visible through the cracks. Recently, Destin has discovered that the weapon seems capable of repairing itself under extreme heat.

Shattered and broken, Destin continues to carry this blade."
Epilogue,1,"Medium Pierce Melee (One-handed) (+3), Medium Pierce Melee (Dual-wielded) (+3), Medium Slash Melee (One-handed) (+3), Medium Slash Melee (Dual-wielded) (+3), Ending",2,?,"""There is no real ending. It's just a place where you stop the story.""

This excellent slender bastard sword is perfectly balanced. Nimble, thin, and razor sharp.

A relatively unknown Runecraft to the wider populace, this sword is highly debated by scholars of war and Runecrafts. ""Ending"", ""Epilogue"", ""The Last Word"", ""An Ending to things"", ect… are all names for what scholars believe is the same sword recorded across many myths from various cultures, long into the past. Always described as a slender, long, graceful sword as easy to use in one hand as two. This sword seems to end up in the hands of ill fated rogues and rebels.

Killing with this weapon seems to mysteriously decapitate the victim's head from their bodies. In some tales it is only when the user of the sword deals a killing blow, while in older tales a single nick from the blade would lead to instant decapitation. Users report seeing flashes of the life they’ve cut off and all the generations in an instant.

 Appearing in various forms throughout history such as a rapier or slender long sword. This has led some scholars to argue that this sword is in fact multiple swords with similar effects. The Battle Scholars of the Dawn Empire had this weapon in their great collection in Crossroads long ago, and it was mysteriously lost. They recorded the weapon as only decapitating on a death blow, testing it on condemned criminals. Such a weak effect led to reduced research on the weapon while it was in their possession. However, they never were able to replicate its Runecraft, odd for such a weak effect. No weapon has ever been recorded as having a similar effect, leaving some scholars to ponder if there is more to this Runecraft…"
Echo,1,"Medium Pierce Melee (One-handed) (+5), Medium Pierce Melee (Two-handed) (+5), Medium Pierce Melee (Dual-wielded) (+5), Medium Slash Melee (Two-handed) (+5), Medium Slash Melee (One-handed) (+5), Medium Slash Melee (Dual-wielded) (+5)",2,?,"""What is a myth? An echo of the past in the future. I can hear it dear sister, can't you…"" - Lord Maxwell Reddington

The arming sword of Lord Maxwell Reddington, taken from the crypt underneath Castle Tearstone.

Lord Maxwell Reddington was heir to House Reddington and to the Kingdom of Reddland. Maxwell was an academic of Byrgenwerth, like his sister Veronica, and was fascinated by the ancient culture of the Siren’s who used to call Reddwall their own. He spent much of his time and dowry funding expeditions into the ancient Siren catacombs that Reddwall stand up today. On one of these expeditions with his younger sister Lady Veronica Reddington, they discovered something deep within the catacombs. Maxwell returned with this sword and Veronica shortly after invented the first healing bloods of Reddwall.

After that fateful day, Maxwell began to worship the Moon Presence. On a diplomatic mission to Crossroads with his sister, Maxwell had an apparent mental breakdown. He raved and blasphemed the Bright Lord in front of the Emperor, and was sentenced to death for his heresy. Veronica was held hostage and war between Reddland and the Empire almost erupted. However, an outlaw pirate Lord known as the Laughing Storm blockaded the Iris Sea and promised to burn and pillage all vessels until Veronica was safely released.

In the end, peace was agreed upon between the two powers. Veronica was barren, so it was agreed the next heir of Reddwall would be bound to the next heir of the Dawn Empire, unifying countries in blood. The entire event was later known as “The Red Blasphemy”.

The Laughing Storm, one of the greatest pirate lords and outlaws to have ever lived, turned himself over to the Reddland navy voluntarily. Sentenced to death, he was pardoned by the now Lady Veronica Reddington for his efforts in her rescue but was indebted to serve Lady Veronica for the rest of his life. Flint Storm served faithfully as Veronica’s advisor and admiral of the Reddland Navy, until their eventual unexpected marriage.

Veronica and Flint tried for children many times, but tragedy struck every time. After years of trying, Veronica eventually bore a sickly heir, a daughter with hair as white as the full moons."
Asclepius,1,"Medium Spear (One-handed) (+7), Medium Spear (Dual-wielded) (+7), Thrown Medium Spear (One-handed) (+7), Resource Pool: Thrown Medium Spear (+7), Large Spear (One-handed) (+7), Large Spear (Two-handed) (+7), Thrown Large Spear (One-handed) (+7), Resource Pool: Thrown Large Spear (+7), Reach Spear (One-handed) (+7), Reach Spear (Two-handed) (+7), Whip (One-handed) (+7), Whip (Dual-wielded) (+7), Metal Feeding, Command Asclepius",3,?,This mastercrafted 5 foot golden snake was crafted by those that worshiped the Great Leviathan.
Soot and Ash,1,"Medium Pierce Melee (One-handed) (+9), Medium Pierce Melee (Dual-wielded) (+9), Medium Slash Melee (One-handed) (+9), Medium Slash Melee (Dual-wielded) (+9), (One-handed) Small Pierce Melee (+9), (Dual-wielded) Small Pierce Melee (+9), (One-handed) Small Slash Melee (+9), (Dual-wielded) Small Slash Melee (+9)",0.2,?,
The Spear of Destiny,1,"Reach Slash Melee (One-handed) (+12), Slash Melee (Two-handed) (+12), Reach Spear (One-handed) (+12), Reach Spear (Two-handed) (+12), Spellcasting Focus, Destiny Chosen, Super Strength, Super Reflex, Indestructible",14,?,"""Long ago, before the time of Fellkin or Brightkin, this weapon is said to have killed a piece of a god. The Bright Lord bestowed this weapon on his most loyal ally to do the same again."" - Ancient texts

The Spear of Destiny, a massive artifact Swordspear,  is the most famous artifact on the continent. The Spear was first wielded by the Amon, Spear of the Brights, in service of The Bright Lord. Though in time, Amon would use the Spear in an attempt to overthrow The Bright Lord.

Eventually the Spear would end up in the possession of the Royal Family of the Dawn Empire, passed down to a sibling of the current Emperor. The siblings would wield the Spear as Amon did for their new emperor. For it is said that whoever wields the spear of Destiny influences the destiny of the world.

Whatever their heart truly desires will begin to manifest in the world. This is regardless of what the users think they want, it is what they truly desire.If the spear is claimed from combat or stolen by another, then the loser loses all their power. They will die in the coming days of mysterious causes.

The most famous of these was Booker Twins, the Golden Patriot. Seen as a symbol of strength and honor to the people of the Dawn Empire. Those that oppose the Dawn Empire had a much different perspective…"
